context	word	language	word_onset	pre_onset	pre_onset_category	conditions_lenition
cs_es	two	spanish	t	NA	NA	NA
cs_es	two	spanish	t	NA	NA	NA
cs_es	two	spanish	t	NA	NA	NA
cs_es	two	spanish	t	NA	NA	NA
cs_es	two	spanish	p	NA	NA	NA
cs_es	two	spanish	p	NA	NA	NA
cs_es	two	spanish	p	NA	NA	NA
cs_es	two	spanish	p	NA	NA	NA
cs_se	two	english	l	NA	NA	NA
cs_se	two	english	l	NA	NA	NA
cs_se	two	english	l	NA	NA	NA
cs_se	two	english	l	NA	NA	NA
cs_se	two	english	NA	NA	NA	NA
cs_se	two	english	NA	NA	NA	NA
cs_se	two	english	NA	NA	NA	NA
cs_se	two	english	NA	NA	NA	NA
cs_se	two	english	k	NA	NA	NA
cs_se	two	english	k	NA	NA	NA
cs_se	two	english	k	NA	NA	NA
cs_se	two	english	k	NA	NA	NA
cs_se	two	english	t	NA	NA	NA
cs_se	two	english	t	NA	NA	NA
cs_se	two	english	t	NA	NA	NA
cs_se	two	english	t	NA	NA	NA
cs_se	two	english	p	NA	NA	NA
cs_se	two	english	p	NA	NA	NA
cs_se	two	english	p	NA	NA	NA
cs_se	two	english	p	NA	NA	NA
spanish	two	spanish	g	n	nasal	no
spanish	two	spanish	b	n	nasal	no
spanish	two	spanish	b	n	nasal	no
cs_es	two	spanish	g	n	nasal	no
cs_es	two	spanish	b	n	nasal	no
english	two	english	g	r	rhotic	no
cs_se	two	english	g	r	rhotic	no
english	one	english	d	k	stop	no
english	two	english	d	t	stop	no
spanish	one	spanish	b	a	v	yes
spanish	one	spanish	g	a	v	yes
cs_se	one	spanish	b	a	v	yes
cs_se	one	spanish	d	a	v	yes
cs_se	one	spanish	g	a	v	yes
spanish	two	spanish	d	a	v	yes
spanish	two	spanish	b	a	v	yes
cs_es	two	spanish	g	a	v	yes
cs_es	two	spanish	d	a	v	yes
cs_es	two	spanish	b	a	v	yes
english	one	english	g	ai	v	yes
cs_es	one	english	g	ai	v	yes
cs_se	two	english	b	ai	v	yes
cs_es	two	spanish	g	e	v	yes
cs_es	two	spanish	b	e	v	yes
cs_es	one	english	b	ei / schwa	v	yes
english	two	english	d	ei / schwa	v	yes
cs_se	two	english	d	ei / schwa	v	yes
cs_se	two	english	b	ei / schwa	v	yes
english	one	english	b	i	v	yes
english	two	english	b	o	v	yes
cs_es	two	spanish	b	o	v	yes
english	one	english	b	schwa	v	yes
english	one	english	b	schwa	v	yes
english	one	english	d	schwa	v	yes
english	one	english	d	schwa	v	yes
english	one	english	d	schwa	v	yes
english	one	english	g	schwa	v	yes
english	one	english	g	schwa	v	yes
cs_es	one	english	b	schwa	v	yes
cs_es	one	english	b	schwa	v	yes
cs_es	one	english	b	schwa	v	yes
cs_es	one	english	d	schwa	v	yes
cs_es	one	english	d	schwa	v	yes
cs_es	one	english	d	schwa	v	yes
cs_es	one	english	d	schwa	v	yes
cs_es	one	english	g	schwa	v	yes
cs_es	one	english	g	schwa	v	yes
cs_es	one	english	g	schwa	v	yes
english	two	english	g	schwa	v	yes
english	two	english	g	schwa	v	yes
english	two	english	g	schwa	v	yes
english	two	english	d	schwa	v	yes
english	two	english	d	schwa	v	yes
english	two	english	b	schwa	v	yes
cs_se	two	english	g	schwa	v	yes
cs_se	two	english	g	schwa	v	yes
cs_se	two	english	d	schwa	v	yes
cs_se	two	english	d	schwa	v	yes
cs_se	two	english	d	schwa	v	yes
cs_se	two	english	b	schwa	v	yes
spanish	one	spanish	d	u	v	yes
cs_se	one	spanish	d	u	v	yes
spanish	two	spanish	d	u	v	yes
