"speaker"	"gender"	"time_stamp"	"sent_comment"	"sentence"	"phoneme"	"word"	"word_comment"	"duration_ms"	"context"	"word_number"	"language"	"feature"	"l_position"	"realization"
"1"	"sub_20"	"female"	41.612	NA	"s_10"	"d"	"damas"	"fric"	75.3601049804615	"ml"	"two"	"spanish"	"lenition"	NA	1
"2"	"sub_20"	"female"	45.292	NA	"s_08"	"g"	"guita"	"stop"	38.2783470237058	"ml"	"two"	"spanish"	"lenition"	NA	0
"3"	"sub_20"	"female"	48.06	NA	"s_15"	"b"	"vaca"	"fric"	58.5581226312186	"ml"	"one"	"spanish"	"lenition"	NA	1
"4"	"sub_20"	"female"	51.084	NA	"s_12"	"d"	"deuda"	"fric"	68.3601486519265	"ml"	"two"	"spanish"	"lenition"	NA	1
"5"	"sub_20"	"female"	55.108	NA	"s_14"	"b"	"vino"	"fric"	50.9464816599134	"ml"	"one"	"spanish"	"lenition"	NA	1
"6"	"sub_20"	"female"	61.196	NA	"s_09"	"d"	"dados"	"fric"	59.7679244179474	"ml"	"two"	"spanish"	"lenition"	NA	1
"7"	"sub_20"	"female"	64.172	NA	"s_11"	"d"	"dedo"	"fric"	82.8851336128764	"ml"	"two"	"spanish"	"lenition"	NA	1
"8"	"sub_20"	"female"	67.42	NA	"s_21"	"g"	"guiso"	"fric"	31.8074635314787	"ml"	"one"	"spanish"	"lenition"	NA	1
"9"	"sub_20"	"female"	73.836	NA	"s_06"	"g"	"gato"	"fric"	28.048693209584	"ml"	"two"	"spanish"	"lenition"	NA	1
"10"	"sub_20"	"female"	78.14	NA	"s_29"	"b"	"vaso"	"fric"	26.7294899231558	"ml"	"two"	"spanish"	"lenition"	NA	1
"11"	"sub_20"	"female"	84.78	NA	"s_32"	"b"	"bicho"	"stop"	34.6442843377304	"ml"	"two"	"spanish"	"lenition"	NA	0
"12"	"sub_20"	"female"	92.172	NA	"s_05"	"g"	"gafas"	"stop"	69.6143888431209	"ml"	"two"	"spanish"	"lenition"	NA	0
"13"	"sub_20"	"female"	95.668	"disf"	"s_13"	"b"	"bicho"	"fric"	25.9822375032002	"ml"	"one"	"spanish"	"lenition"	NA	1
"14"	"sub_20"	"female"	100.596	NA	"s_22"	"g"	"guita"	"stop"	49.0435431704697	"ml"	"one"	"spanish"	"lenition"	NA	0
"15"	"sub_20"	"female"	104.772	NA	"s_20"	"d"	"damas"	"fric"	18.4138179786117	"ml"	"one"	"spanish"	"lenition"	NA	1
"16"	"sub_20"	"female"	108.252	NA	"s_17"	"d"	"dedo"	"fric"	48.6894686164732	"ml"	"one"	"spanish"	"lenition"	NA	1
"17"	"sub_20"	"female"	119.98	NA	"s_30"	"b"	"vaca"	"fric"	55.2398569436434	"ml"	"two"	"spanish"	"lenition"	NA	1
"18"	"sub_20"	"female"	123.644	NA	"s_19"	"d"	"dados"	"fric"	57.6607764509163	"ml"	"one"	"spanish"	"lenition"	NA	1
"19"	"sub_20"	"female"	127.244	NA	"s_31"	"b"	"vino"	"fric"	55.2461747322468	"ml"	"two"	"spanish"	"lenition"	NA	1
"20"	"sub_20"	"female"	137.668	NA	"s_18"	"d"	"deuda"	"fric"	53.9250999386525	"ml"	"one"	"spanish"	"lenition"	NA	1
"21"	"sub_20"	"female"	141.812	NA	"s_24"	"g"	"gato"	"fric"	21.4054572028033	"ml"	"one"	"spanish"	"lenition"	NA	1
"22"	"sub_20"	"female"	146.172	NA	"s_16"	"b"	"vaso"	"fric"	85.0286563018585	"ml"	"one"	"spanish"	"lenition"	NA	1
"23"	"sub_20"	"female"	150.012	NA	"s_07"	"g"	"guiso"	"stop"	46.2066444146387	"ml"	"two"	"spanish"	"lenition"	NA	0
"24"	"sub_20"	"female"	158.732	NA	"s_23"	"g"	"gafas"	"stop"	41.1178965237298	"ml"	"one"	"spanish"	"lenition"	NA	0
"25"	"sub_20"	"female"	164.764	NA	"s_14"	"b"	"vino"	"fric"	44.8210816050221	"ml"	"one"	"spanish"	"lenition"	NA	1
"26"	"sub_20"	"female"	167.86	NA	"s_31"	"b"	"vino"	"fric"	42.0050025742285	"ml"	"two"	"spanish"	"lenition"	NA	1
"27"	"sub_20"	"female"	170.956	NA	"s_23"	"g"	"gafas"	"fric"	55.9766817708294	"ml"	"one"	"spanish"	"lenition"	NA	1
"28"	"sub_20"	"female"	174.044	NA	"s_19"	"d"	"dados"	"fric"	52.0711489623409	"ml"	"one"	"spanish"	"lenition"	NA	1
"29"	"sub_20"	"female"	177.428	NA	"s_18"	"d"	"deuda"	"fric"	78.3827052490835	"ml"	"one"	"spanish"	"lenition"	NA	1
"30"	"sub_20"	"female"	181.756	NA	"s_10"	"d"	"damas"	"stop"	17.4294298290363	"ml"	"two"	"spanish"	"lenition"	NA	0
"31"	"sub_20"	"female"	185.988	"disf"	"s_09"	"d"	"dados"	"fric"	91.7797082514369	"ml"	"two"	"spanish"	"lenition"	NA	1
"32"	"sub_20"	"female"	190.196	NA	"s_20"	"d"	"damas"	"fric"	36.7560323593636	"ml"	"one"	"spanish"	"lenition"	NA	1
"33"	"sub_20"	"female"	196.964	NA	"s_08"	"g"	"guita"	"stop"	18.51814226697	"ml"	"two"	"spanish"	"lenition"	NA	0
"34"	"sub_20"	"female"	200.052	NA	"s_24"	"g"	"gato"	"fric"	56.5969202126269	"ml"	"one"	"spanish"	"lenition"	NA	1
"35"	"sub_20"	"female"	203.828	NA	"s_06"	"g"	"gato"	"fric"	34.7600866856226	"ml"	"two"	"spanish"	"lenition"	NA	1
"36"	"sub_20"	"female"	207.423165503828	"MISSING"	"s_22"	"g"	"guita"	"MISSING"	60.1941324169104	"ml"	"one"	"spanish"	"lenition"	NA	NA
"37"	"sub_20"	"female"	213.332	NA	"s_13"	"b"	"bicho"	"fric"	29.2992157158949	"ml"	"one"	"spanish"	"lenition"	NA	1
"38"	"sub_20"	"female"	217.092	NA	"s_32"	"b"	"bicho"	"stop"	38.1289791920949	"ml"	"two"	"spanish"	"lenition"	NA	0
"39"	"sub_20"	"female"	220.54	NA	"s_17"	"d"	"dedo"	"fric"	46.0650901515294	"ml"	"one"	"spanish"	"lenition"	NA	1
"40"	"sub_20"	"female"	224.412	NA	"s_30"	"b"	"vaca"	"fric"	49.9221623607582	"ml"	"two"	"spanish"	"lenition"	NA	1
"41"	"sub_20"	"female"	227.94	NA	"s_07"	"g"	"guiso"	"fric"	36.5119974376285	"ml"	"two"	"spanish"	"lenition"	NA	1
"42"	"sub_20"	"female"	234.796	NA	"s_21"	"g"	"guiso"	"fric"	61.3153717973489	"ml"	"one"	"spanish"	"lenition"	NA	1
