"speaker"	"gender"	"time_stamp"	"sent_comment"	"sentence"	"phoneme"	"word"	"word_comment"	"duration_ms"	"context"	"word_number"	"language"	"feature"	"l_position"	"realization"
"1"	"sub_18"	"female"	33.2420465597944	NA	"e_24"	"g"	"garment"	"stop"	104.664471740087	"ml"	"one"	"english"	"lenition"	NA	0
"2"	"sub_18"	"female"	38.748	NA	"e_23"	"g"	"godson"	"stop"	70.5473979455604	"ml"	"one"	"english"	"lenition"	NA	0
"3"	"sub_18"	"female"	53.308	NA	"e_31"	"b"	"beetle"	"stop"	57.6550511866145	"ml"	"two"	"english"	"lenition"	NA	0
"4"	"sub_18"	"female"	57.916	NA	"e_32"	"b"	"beaver"	"stop"	69.2931242902333	"ml"	"two"	"english"	"lenition"	NA	0
"5"	"sub_18"	"female"	62.292	NA	"e_20"	"d"	"dollhouse"	"stop"	95.2286685407628	"ml"	"one"	"english"	"lenition"	NA	0
"6"	"sub_18"	"female"	79.508	NA	"e_13"	"b"	"beaver"	"stop"	81.1245493395916	"ml"	"one"	"english"	"lenition"	NA	0
"7"	"sub_18"	"female"	83.588	NA	"e_30"	"b"	"bonnet"	"stop"	39.6523607849133	"ml"	"two"	"english"	"lenition"	NA	0
"8"	"sub_18"	"female"	87.78	NA	"e_18"	"d"	"decoy"	"stop"	72.10423549175	"ml"	"one"	"english"	"lenition"	NA	0
"9"	"sub_18"	"female"	91.892	NA	"e_29"	"b"	"boxes"	"stop"	61.0240832073572	"ml"	"two"	"english"	"lenition"	NA	0
"10"	"sub_18"	"female"	95.476	NA	"e_22"	"g"	"garlic"	"stop"	72.8539636583321	"ml"	"one"	"english"	"lenition"	NA	0
"11"	"sub_18"	"female"	99.652	NA	"e_21"	"g"	"garbage"	"stop"	60.8100943500602	"ml"	"one"	"english"	"lenition"	NA	0
"12"	"sub_18"	"female"	107.22	NA	"e_06"	"g"	"garlic"	"stop"	29.1212613771279	"ml"	"two"	"english"	"lenition"	NA	0
"13"	"sub_18"	"female"	110.844	NA	"e_05"	"g"	"garbage"	"stop"	49.4563366593326	"ml"	"two"	"english"	"lenition"	NA	0
"14"	"sub_18"	"female"	114.62	"disf"	"e_14"	"b"	"beetle"	"stop"	112.352471202925	"ml"	"one"	"english"	"lenition"	NA	0
"15"	"sub_18"	"female"	118.935903508233	NA	"e_15"	"b"	"bonnet"	"stop"	92.0034469328215	"ml"	"one"	"english"	"lenition"	NA	0
"16"	"sub_18"	"female"	126.988	NA	"e_19"	"d"	"donkey"	"stop"	68.7467958053389	"ml"	"one"	"english"	"lenition"	NA	0
"17"	"sub_18"	"female"	130.844	NA	"e_17"	"d"	"dealer"	"stop"	62.2799759501049	"ml"	"one"	"english"	"lenition"	NA	0
"18"	"sub_18"	"female"	134.811734771255	NA	"e_11"	"d"	"dealer"	"stop"	50.6440992290607	"ml"	"two"	"english"	"lenition"	NA	0
"19"	"sub_18"	"female"	138.548	NA	"e_09"	"d"	"donkey"	"stop"	52.7912521516214	"ml"	"two"	"english"	"lenition"	NA	0
"20"	"sub_18"	"female"	142.308	NA	"e_08"	"g"	"garment"	"stop"	93.9635220851471	"ml"	"two"	"english"	"lenition"	NA	0
"21"	"sub_18"	"female"	146.084	NA	"e_10"	"d"	"dollhouse"	"stop"	112.641272888794	"ml"	"two"	"english"	"lenition"	NA	0
"22"	"sub_18"	"female"	150.1	NA	"e_16"	"b"	"boxes"	"stop"	51.4897387534177	"ml"	"one"	"english"	"lenition"	NA	0
"23"	"sub_18"	"female"	157.66	NA	"e_12"	"d"	"decoy"	"stop"	97.5933821521835	"ml"	"two"	"english"	"lenition"	NA	0
"24"	"sub_18"	"female"	161.276	"disf"	"e_07"	"g"	"godson"	"stop"	61.7258295513352	"ml"	"two"	"english"	"lenition"	NA	0
"25"	"sub_18"	"female"	165.796	NA	"e_32"	"b"	"beaver"	"stop"	108.813934598516	"ml"	"two"	"english"	"lenition"	NA	0
"26"	"sub_18"	"female"	169.54	"disf"	"e_17"	"d"	"dealer"	"stop"	68.298682471152	"ml"	"one"	"english"	"lenition"	NA	0
"27"	"sub_18"	"female"	174.116	NA	"e_12"	"d"	"decoy"	"stop"	83.1306242006065	"ml"	"two"	"english"	"lenition"	NA	0
"28"	"sub_18"	"female"	185.708	NA	"e_21"	"g"	"garbage"	"stop"	46.4709419939879	"ml"	"one"	"english"	"lenition"	NA	0
"29"	"sub_18"	"female"	188.996	"disf"	"e_14"	"b"	"beetle"	"stop"	120.09470650267	"ml"	"one"	"english"	"lenition"	NA	0
"30"	"sub_18"	"female"	196.508	NA	"e_22"	"g"	"garlic"	"stop"	51.7007554825284	"ml"	"one"	"english"	"lenition"	NA	0
"31"	"sub_18"	"female"	200.156	NA	"e_15"	"b"	"bonnet"	"stop"	59.2948889810998	"ml"	"one"	"english"	"lenition"	NA	0
"32"	"sub_18"	"female"	203.492	NA	"e_20"	"d"	"dollhouse"	"stop"	65.8646446536864	"ml"	"one"	"english"	"lenition"	NA	0
"33"	"sub_18"	"female"	206.812	NA	"e_29"	"b"	"boxes"	"stop"	44.3251171589054	"ml"	"two"	"english"	"lenition"	NA	0
"34"	"sub_18"	"female"	210.428	NA	"e_18"	"d"	"decoy"	"stop"	45.4782252210748	"ml"	"one"	"english"	"lenition"	NA	0
"35"	"sub_18"	"female"	217.572	NA	"e_30"	"b"	"bonnet"	"stop"	44.0526477600542	"ml"	"two"	"english"	"lenition"	NA	0
"36"	"sub_18"	"female"	221.436	NA	"e_11"	"d"	"dealer"	"stop"	60.2382302654121	"ml"	"two"	"english"	"lenition"	NA	0
"37"	"sub_18"	"female"	228.94	NA	"e_09"	"d"	"donkey"	"stop"	33.8911231544046	"ml"	"two"	"english"	"lenition"	NA	0
"38"	"sub_18"	"female"	232.5	NA	"e_06"	"g"	"garlic"	"stop"	44.4135099623395	"ml"	"two"	"english"	"lenition"	NA	0
"39"	"sub_18"	"female"	238.884	NA	"e_10"	"d"	"dollhouse"	"stop"	67.6157318117419	"ml"	"two"	"english"	"lenition"	NA	0
"40"	"sub_18"	"female"	242.428	NA	"e_07"	"g"	"godson"	"stop"	57.0953256111864	"ml"	"two"	"english"	"lenition"	NA	0
"41"	"sub_18"	"female"	246.324	NA	"e_08"	"g"	"garment"	"stop"	69.9092902160032	"ml"	"two"	"english"	"lenition"	NA	0
"42"	"sub_18"	"female"	249.82	NA	"e_13"	"b"	"beaver"	"stop"	94.0963558077215	"ml"	"one"	"english"	"lenition"	NA	0
"43"	"sub_18"	"female"	253.476	NA	"e_24"	"g"	"garment"	"stop"	79.6431612623394	"ml"	"one"	"english"	"lenition"	NA	0
"44"	"sub_18"	"female"	257.172	NA	"e_23"	"g"	"godson"	"stop"	64.792637761343	"ml"	"one"	"english"	"lenition"	NA	0
"45"	"sub_18"	"female"	264.468	NA	"e_31"	"b"	"beetle"	"stop"	63.0140282151501	"ml"	"two"	"english"	"lenition"	NA	0
"46"	"sub_18"	"female"	268.332	NA	"e_16"	"b"	"boxes"	"stop"	65.122403736666	"ml"	"one"	"english"	"lenition"	NA	0
"47"	"sub_18"	"female"	272.468	NA	"e_19"	"d"	"donkey"	"stop"	32.4919866099549	"ml"	"one"	"english"	"lenition"	NA	0
"48"	"sub_18"	"female"	275.964	NA	"e_05"	"g"	"garbage"	"stop"	37.7012131350511	"ml"	"two"	"english"	"lenition"	NA	0
"49"	"sub_18"	"female"	325.652	NA	"s_23"	"g"	"gafas"	"stop"	63.6507570099525	"ml"	"one"	"spanish"	"lenition"	NA	0
"50"	"sub_18"	"female"	333.268	NA	"s_24"	"g"	"gato"	"fric"	36.3741361970256	"ml"	"one"	"spanish"	"lenition"	NA	1
"51"	"sub_18"	"female"	341.156	NA	"s_21"	"g"	"guiso"	"fric"	24.2606534332594	"ml"	"one"	"spanish"	"lenition"	NA	1
"52"	"sub_18"	"female"	344.516	NA	"s_30"	"b"	"vaca"	"fric"	69.7188819175949	"ml"	"two"	"spanish"	"lenition"	NA	1
"53"	"sub_18"	"female"	348.5	"disf"	"s_13"	"b"	"bicho"	"fric"	64.940208242092	"ml"	"one"	"spanish"	"lenition"	NA	1
"54"	"sub_18"	"female"	353.028	NA	"s_10"	"d"	"damas"	"stop"	30.5518791820418	"ml"	"two"	"spanish"	"lenition"	NA	0
"55"	"sub_18"	"female"	361.052	NA	"s_05"	"g"	"gafas"	"stop"	25.1383816207067	"ml"	"two"	"spanish"	"lenition"	NA	0
"56"	"sub_18"	"female"	369.084	NA	"s_16"	"b"	"vaso"	"fric"	73.8073348695707	"ml"	"one"	"spanish"	"lenition"	NA	1
"57"	"sub_18"	"female"	372.556	"disf"	"s_07"	"g"	"guiso"	"stop"	71.3661633935203	"ml"	"two"	"spanish"	"lenition"	NA	0
"58"	"sub_18"	"female"	377.324	"disf"	"s_11"	"d"	"dedo"	"fric"	31.6347047418617	"ml"	"two"	"spanish"	"lenition"	NA	1
"59"	"sub_18"	"female"	382.012	NA	"s_12"	"d"	"deuda"	"stop"	57.7250925803128	"ml"	"two"	"spanish"	"lenition"	NA	0
