"speaker"	"gender"	"time_stamp"	"sent_comment"	"sentence"	"phoneme"	"word"	"word_comment"	"duration_ms"	"context"	"word_number"	"language"	"feature"	"l_position"	"realization"
"1"	"sub_06"	"female"	46.5957503975879	"MISSING"	"cses_18"	"d"	"decoy"	"MISSING"	55.0057723733062	"cs"	"one"	"english"	"lenition"	NA	NA
"2"	"sub_06"	"female"	50.4144680807245	NA	"cses_16"	"b"	"boxes"	"stop"	92.2947561083447	"cs"	"one"	"english"	"lenition"	NA	0
"3"	"sub_06"	"female"	60.45606900888	"disf"	"cses_29"	"b"	"vaca"	"fric"	37.7624654000357	"cs"	"two"	"spanish"	"lenition"	NA	1
"4"	"sub_06"	"female"	67.1998293996371	NA	"cses_19"	"d"	"donkey"	"stop"	118.232550999878	"cs"	"one"	"english"	"lenition"	NA	0
"5"	"sub_06"	"female"	72.7253660058676	NA	"cses_31"	"b"	"bicho"	"stop"	64.7430023587816	"cs"	"two"	"spanish"	"lenition"	NA	0
"6"	"sub_06"	"female"	77.7727311750205	NA	"cses_10"	"d"	"damas"	"stop"	59.4224375817163	"cs"	"two"	"spanish"	"lenition"	NA	0
"7"	"sub_06"	"female"	81.9554089874282	NA	"cses_24"	"g"	"garment"	"stop"	54.2648496936238	"cs"	"one"	"english"	"lenition"	NA	0
"8"	"sub_06"	"female"	86.4993599016874	NA	"cses_14"	"b"	"beetle"	"stop"	155.67444668315	"cs"	"one"	"english"	"lenition"	NA	0
"9"	"sub_06"	"female"	96.1543160848115	NA	"cses_06"	"g"	"gato"	"stop"	48.0170846070678	"cs"	"two"	"spanish"	"lenition"	NA	0
"10"	"sub_06"	"female"	101.307941252751	"disf"	"cses_22"	"g"	"garlic"	"stop"	88.7458617291514	"cs"	"one"	"english"	"lenition"	NA	0
"11"	"sub_06"	"female"	111.880842370482	NA	"cses_11"	"d"	"dedo"	"stop"	46.4450967181449	"cs"	"two"	"spanish"	"lenition"	NA	0
