"speaker"	"gender"	"time_stamp"	"sent_comment"	"sentence"	"phoneme"	"word"	"word_comment"	"duration_ms"	"context"	"word_number"	"language"	"feature"	"l_position"	"realization"
"1"	"sub_07"	"female"	25.6532729154596	NA	"csse_10"	"d"	"donkey"	"stop"	62.5937084762747	"cs"	"two"	"english"	"lenition"	NA	0
"2"	"sub_07"	"female"	37.2090835689793	NA	"csse_19"	"d"	"dados"	"fric"	37.6182339618651	"cs"	"one"	"spanish"	"lenition"	NA	1
"3"	"sub_07"	"female"	47.847240422309	NA	"csse_12"	"d"	"dealer"	"stop"	104.319136308035	"cs"	"two"	"english"	"lenition"	NA	0
"4"	"sub_07"	"female"	52.6930474503274	NA	"csse_22"	"g"	"guita"	"fric"	68.0886912051406	"cs"	"one"	"spanish"	"lenition"	NA	1
"5"	"sub_07"	"female"	69.6150801143959	NA	"csse_16"	"b"	"vaso"	"fric"	102.011965029845	"cs"	"one"	"spanish"	"lenition"	NA	1
"6"	"sub_07"	"female"	75.2341540609843	NA	"csse_18"	"d"	"deuda"	"fric"	45.7580602558494	"cs"	"one"	"spanish"	"lenition"	NA	1
"7"	"sub_07"	"female"	80.1315120878274	NA	"csse_29"	"b"	"boxes"	"stop"	76.7256363885878	"cs"	"two"	"english"	"lenition"	NA	0
"8"	"sub_07"	"female"	85.9567905829144	NA	"csse_14"	"b"	"vino"	"fric"	60.5947646418201	"cs"	"one"	"spanish"	"lenition"	NA	1
"9"	"sub_07"	"female"	96.8340805162186	NA	"csse_24"	"g"	"gato"	"stop"	24.1721661794827	"cs"	"one"	"spanish"	"lenition"	NA	0
"10"	"sub_07"	"female"	101.628336268812	NA	"csse_17"	"d"	"dedo"	"stop"	45.8054376484114	"cs"	"one"	"spanish"	"lenition"	NA	0
"11"	"sub_07"	"female"	117.830365872244	NA	"csse_07"	"g"	"garlic"	"stop"	61.2880657864423	"cs"	"two"	"english"	"lenition"	NA	0
"12"	"sub_07"	"female"	128.553001904533	NA	"csse_15"	"b"	"vaca"	"fric"	51.8273338583697	"cs"	"one"	"spanish"	"lenition"	NA	1
"13"	"sub_07"	"female"	133.811217651137	NA	"csse_08"	"g"	"garbage"	"stop"	49.1783574636031	"cs"	"two"	"english"	"lenition"	NA	0
"14"	"sub_07"	"female"	139.488073300219	NA	"csse_30"	"b"	"bonnet"	"stop"	81.3940234667996	"cs"	"two"	"english"	"lenition"	NA	0
"15"	"sub_07"	"female"	144.636955952967	NA	"csse_11"	"d"	"decoy"	"stop"	62.3511317842258	"cs"	"two"	"english"	"lenition"	NA	0
"16"	"sub_07"	"female"	149.686188276628	NA	"csse_32"	"b"	"beaver"	"stop"	82.3645037591234	"cs"	"two"	"english"	"lenition"	NA	0
"17"	"sub_07"	"female"	154.480443755564	NA	"csse_21"	"g"	"guiso"	"stop"	53.0357425915611	"cs"	"one"	"spanish"	"lenition"	NA	0
"18"	"sub_07"	"female"	160.305721918143	NA	"csse_05"	"g"	"garment"	"stop"	81.1165567324679	"cs"	"two"	"english"	"lenition"	NA	0
"19"	"sub_07"	"female"	165.099977397079	NA	"csse_13"	"b"	"bicho"	"fric"	41.4976713340991	"cs"	"one"	"spanish"	"lenition"	NA	1
"20"	"sub_07"	"female"	169.99733514438	NA	"csse_06"	"g"	"godson"	"stop"	56.2038364596447	"cs"	"two"	"english"	"lenition"	NA	0
"21"	"sub_07"	"female"	175.255550830956	"disf"	"csse_20"	"d"	"damas"	"fric"	66.9329471153617	"cs"	"one"	"spanish"	"lenition"	NA	1
"22"	"sub_07"	"female"	180.771522188442	NA	"csse_23"	"g"	"gafas"	"stop"	28.9736441555988	"cs"	"one"	"spanish"	"lenition"	NA	0
"23"	"sub_07"	"female"	185.462675399014	NA	"csse_09"	"d"	"dollhouse"	"stop"	106.029277005291	"cs"	"two"	"english"	"lenition"	NA	0
