"speaker"	"gender"	"time_stamp"	"sent_comment"	"sentence"	"phoneme"	"word"	"word_comment"	"duration_ms"	"context"	"word_number"	"language"	"feature"	"l_position"	"realization"
"1"	"sub_15"	"female"	40.58	"disf"	"csse_31"	"b"	"beetle"	"stop"	85.2845038408745	"cs"	"two"	"english"	"lenition"	NA	0
"2"	"sub_15"	"female"	56.676	NA	"csse_13"	"b"	"bicho"	"fric"	45.1297639248338	"cs"	"one"	"spanish"	"lenition"	NA	1
"3"	"sub_15"	"female"	63.172	"disf"	"csse_08"	"g"	"garbage"	"stop"	91.8108733071676	"cs"	"two"	"english"	"lenition"	NA	0
"4"	"sub_15"	"female"	77.156	NA	"csse_15"	"b"	"vaca"	"fric"	31.4238840664984	"cs"	"one"	"spanish"	"lenition"	NA	1
"5"	"sub_15"	"female"	83.7795851977332	NA	"csse_17"	"d"	"dedo"	"stop"	50.1294237654974	"cs"	"one"	"spanish"	"lenition"	NA	0
"6"	"sub_15"	"female"	90.916	"disf"	"csse_16"	"b"	"vaso"	"fric"	62.8086311119773	"cs"	"one"	"spanish"	"lenition"	NA	1
"7"	"sub_15"	"female"	97.468	NA	"csse_12"	"d"	"dealer"	"stop"	97.8876143547751	"cs"	"two"	"english"	"lenition"	NA	0
"8"	"sub_15"	"female"	109.796	NA	"csse_22"	"g"	"guita"	"fric"	33.8560703009421	"cs"	"one"	"spanish"	"lenition"	NA	1
"9"	"sub_15"	"female"	116.535833658481	"disf"	"csse_06"	"g"	"godson"	"stop"	76.303214107142	"cs"	"two"	"english"	"lenition"	NA	0
"10"	"sub_15"	"female"	124.484	NA	"csse_21"	"g"	"guiso"	"fric"	85.2502272299063	"cs"	"one"	"spanish"	"lenition"	NA	1
"11"	"sub_15"	"female"	138.316440079523	NA	"csse_11"	"d"	"decoy"	"stop"	77.9607650116247	"cs"	"two"	"english"	"lenition"	NA	0
"12"	"sub_15"	"female"	144.532	NA	"csse_32"	"b"	"beaver"	"stop"	103.496972310609	"cs"	"two"	"english"	"lenition"	NA	0
"13"	"sub_15"	"female"	150.748	"disf"	"csse_09"	"d"	"dollhouse"	"stop"	182.610841316745	"cs"	"two"	"english"	"lenition"	NA	0
"14"	"sub_15"	"female"	159.276	"disf"	"csse_14"	"b"	"vino"	"fric"	30.4675765781894	"cs"	"one"	"spanish"	"lenition"	NA	1
"15"	"sub_15"	"female"	166.476	NA	"csse_18"	"d"	"deuda"	"fric"	41.4632958810728	"cs"	"one"	"spanish"	"lenition"	NA	1
"16"	"sub_15"	"female"	178.476	NA	"csse_23"	"g"	"gafas"	"stop"	31.329954177977	"cs"	"one"	"spanish"	"lenition"	NA	0
"17"	"sub_15"	"female"	184.22	NA	"csse_20"	"d"	"damas"	"stop"	26.9502612453891	"cs"	"one"	"spanish"	"lenition"	NA	0
"18"	"sub_15"	"female"	197.675790844121	NA	"csse_10"	"d"	"donkey"	"stop"	34.8644414958699	"cs"	"two"	"english"	"lenition"	NA	0
"19"	"sub_15"	"female"	209.388	NA	"csse_24"	"g"	"gato"	"stop"	21.3304376156316	"cs"	"one"	"spanish"	"lenition"	NA	0
"20"	"sub_15"	"female"	215.708	NA	"csse_30"	"b"	"bonnet"	"stop"	101.900724107992	"cs"	"two"	"english"	"lenition"	NA	0
"21"	"sub_15"	"female"	221.644	"disf"	"csse_07"	"g"	"garlic"	"stop"	40.0824855318547	"cs"	"two"	"english"	"lenition"	NA	0
"22"	"sub_15"	"female"	228.78	NA	"csse_05"	"g"	"garment"	"stop"	35.9136646878255	"cs"	"two"	"english"	"lenition"	NA	0
"23"	"sub_15"	"female"	234.636	NA	"csse_19"	"d"	"dados"	"stop"	55.0205080884894	"cs"	"one"	"spanish"	"lenition"	NA	0
"24"	"sub_15"	"female"	241.42	NA	"csse_29"	"b"	"boxes"	"stop"	75.877971897512	"cs"	"two"	"english"	"lenition"	NA	0
"25"	"sub_15"	"female"	269.284	NA	"csse_24"	"g"	"gato"	"fric"	31.50022616245	"cs"	"one"	"spanish"	"lenition"	NA	1
"26"	"sub_15"	"female"	274.844	NA	"csse_29"	"b"	"boxes"	"stop"	149.795177980195	"cs"	"two"	"english"	"lenition"	NA	0
"27"	"sub_15"	"female"	281.524	"disf"	"csse_15"	"b"	"vaca"	"fric"	35.6402826250246	"cs"	"one"	"spanish"	"lenition"	NA	1
"28"	"sub_15"	"female"	288.5	NA	"csse_14"	"b"	"vino"	"fric"	52.6014323467052	"cs"	"one"	"spanish"	"lenition"	NA	1
"29"	"sub_15"	"female"	293.996	NA	"csse_13"	"b"	"bicho"	"fric"	49.2255321497055	"cs"	"one"	"spanish"	"lenition"	NA	1
"30"	"sub_15"	"female"	299.972	NA	"csse_23"	"g"	"gafas"	"stop"	31.6679786695886	"cs"	"one"	"spanish"	"lenition"	NA	0
"31"	"sub_15"	"female"	323.924	NA	"csse_17"	"d"	"dedo"	"fric"	42.366473373761	"cs"	"one"	"spanish"	"lenition"	NA	1
"32"	"sub_15"	"female"	330.444	"disf"	"csse_22"	"g"	"guita"	"stop"	39.3277510000303	"cs"	"one"	"spanish"	"lenition"	NA	0
"33"	"sub_15"	"female"	337.884	"disf"	"csse_31"	"b"	"beetle"	"stop"	108.535769608977	"cs"	"two"	"english"	"lenition"	NA	0
"34"	"sub_15"	"female"	347.063130458248	NA	"csse_20"	"d"	"damas"	"stop"	33.565091021444	"cs"	"one"	"spanish"	"lenition"	NA	0
"35"	"sub_15"	"female"	352.692	"disf"	"csse_21"	"g"	"guiso"	"fric"	147.316995189669	"cs"	"one"	"spanish"	"lenition"	NA	1
"36"	"sub_15"	"female"	365.756	NA	"csse_10"	"d"	"donkey"	"stop"	81.6385765562586	"cs"	"two"	"english"	"lenition"	NA	0
"37"	"sub_15"	"female"	370.812	"disf"	"csse_08"	"g"	"garbage"	"stop"	120.106496006088	"cs"	"two"	"english"	"lenition"	NA	0
"38"	"sub_15"	"female"	375.964	NA	"csse_19"	"d"	"dados"	"stop"	109.859875638278	"cs"	"one"	"spanish"	"lenition"	NA	0
"39"	"sub_15"	"female"	381.5	NA	"csse_30"	"b"	"bonnet"	"stop"	78.4666679323323	"cs"	"two"	"english"	"lenition"	NA	0
"40"	"sub_15"	"female"	386.468	NA	"csse_05"	"g"	"garment"	"stop"	70.4984097085912	"cs"	"two"	"english"	"lenition"	NA	0
"41"	"sub_15"	"female"	391.204	NA	"csse_16"	"b"	"vaso"	"fric"	49.7461502735632	"cs"	"one"	"spanish"	"lenition"	NA	1
"42"	"sub_15"	"female"	395.764	NA	"csse_09"	"d"	"dollhouse"	"stop"	84.7782377309159	"cs"	"two"	"english"	"lenition"	NA	0
"43"	"sub_15"	"female"	407.116	NA	"csse_18"	"d"	"deuda"	"fric"	75.0168916373468	"cs"	"one"	"spanish"	"lenition"	NA	1
