speaker	gender	time_stamp	sent_comment	sentence	phoneme	word	word_comment	duration_ms	context	word_number	language	feature	l_position	f1	f2	f3	f3_f2
sub_06	female	549.0185818	disf	csse_14	l	doll	NA	185.8701956	cs	two	english	l_clarity	coda	584.0931172	1114.223735	3053.433304	1939.209569
sub_06	female	560.3554215	NA	csse_01	l	locket	NA	98.66402954	cs	two	english	l_clarity	onset	522.7768438	1311.327357	2878.463564	1567.136207
sub_06	female	564.7564177	NA	csse_13	l	ball	NA	43.83185506	cs	two	english	l_clarity	coda	1274.720044	3009.890319	4046.497515	1036.607196
sub_06	female	579.9212963	NA	csse_26	l	lima	NA	66.84847768	cs	one	spanish	l_clarity	onset	423.2746874	1716.697778	2879.091442	1162.393664
sub_06	female	600.2660687	NA	csse_16	l	meal	NA	77.26213412	cs	two	english	l_clarity	coda	577.4215072	1555.187892	3045.114202	1489.92631
sub_06	female	612.220971	NA	csse_31	l	panal	NA	121.2363108	cs	one	spanish	l_clarity	coda	600.1753766	1632.754073	3073.441972	1440.687898
sub_06	female	616.4098711	NA	csse_02	l	locker	NA	81.80067262	cs	two	english	l_clarity	onset	460.0610172	1285.905086	2721.59484	1435.689754
sub_06	female	620.6517951	disf	csse_15	l	wheel	NA	96.33094635	cs	two	english	l_clarity	coda	514.8997272	1074.472635	2727.503753	1653.031118
sub_06	female	625.4769838	NA	csse_02	l	locker	NA	84.63080439	cs	two	english	l_clarity	onset	472.6643433	1349.176162	2652.936195	1303.760033
sub_06	female	628.4993547	NA	csse_13	l	ball	NA	45.00547586	cs	two	english	l_clarity	coda	525.1543021	1289.639541	2974.675292	1685.035751
sub_06	female	632.8473269	NA	csse_27	l	lapiz	NA	73.04286237	cs	one	spanish	l_clarity	onset	446.9489732	1695.067667	2872.387243	1177.319576
sub_06	female	637.0362269	disf	csse_04	l	leases	NA	83.08767452	cs	two	english	l_clarity	onset	355.9538255	1606.357835	2854.661609	1248.303773
sub_06	female	646.527532	NA	csse_16	l	meal	NA	174.5411027	cs	two	english	l_clarity	coda	582.7495266	1187.203463	2766.054718	1578.851255
sub_06	female	650.617893	NA	csse_03	l	leeches	NA	101.016154	cs	two	english	l_clarity	onset	369.8320748	1703.018538	2826.542094	1123.523556
sub_06	female	666.7902286	NA	csse_25	l	libro	NA	100.4316152	cs	one	spanish	l_clarity	onset	393.2261353	1970.261058	2812.811929	842.5508711
sub_06	female	671.403321	NA	csse_30	l	marfil	NA	68.30401373	cs	one	spanish	l_clarity	coda	372.1466627	2074.494699	2859.644182	785.1494835
sub_06	female	675.4331489	NA	csse_32	l	pangal	NA	123.2143013	cs	one	spanish	l_clarity	coda	449.9026498	1623.656341	3117.94741	1494.291069
sub_06	female	679.4099527	NA	csse_29	l	carril	NA	85.64266267	cs	one	spanish	l_clarity	coda	434.3986008	1925.067395	2915.54223	990.4748352
sub_06	female	694.8487559	NA	csse_26	l	lima	NA	57.4211602	cs	one	spanish	l_clarity	onset	408.3001975	1673.419558	2973.519572	1300.100014
sub_06	female	699.6739446	NA	csse_31	l	panal	NA	115.8018227	cs	one	spanish	l_clarity	coda	567.3225821	1678.598306	3098.835208	1420.236902
sub_06	female	703.7037725	NA	csse_14	l	doll	NA	123.8946993	cs	two	english	l_clarity	coda	656.6698307	1202.933328	2890.410502	1687.477175
sub_06	female	737.1619486	NA	csse_01	l	locket	NA	80.64954464	cs	two	english	l_clarity	onset	521.8489613	1458.638339	2896.699578	1438.061239
sub_06	female	748.9397622	NA	csse_28	l	latas	NA	45.1700746	cs	one	spanish	l_clarity	onset	449.8383177	1488.078922	2940.401925	1452.323004
sub_06	female	854.0520756	disf	s_32	l	pangal	NA	58.74389258	ml	one	spanish	l_clarity	coda	418.5947113	1744.811341	3059.890818	1315.079477
sub_06	female	864.5508377	NA	s_26	l	lima	NA	92.02147032	ml	one	spanish	l_clarity	onset	418.0345297	1810.934178	2981.678256	1170.744078
