speaker	gender	time_stamp	sent_comment	sentence	phoneme	word	word_comment	duration_ms	context	word_number	language	feature	l_position	f1	f2	f3	f3_f2
sub_07	female	31.78980685	NA	csse_03	l	leeches	NA	102.1547427	cs	two	english	l_clarity	onset	323.1211982	1844.705434	2967.66976	1122.964327
sub_07	female	43.05298453	NA	csse_25	l	libro	NA	94.60309472	cs	one	spanish	l_clarity	onset	402.9808624	1922.664439	3025.6475	1102.983061
sub_07	female	57.86142085	NA	csse_28	l	latas	NA	59.27334852	cs	one	spanish	l_clarity	onset	446.7684965	1310.434057	3158.398303	1847.964246
sub_07	female	63.11963684	NA	csse_26	l	lima	NA	81.31502599	cs	one	spanish	l_clarity	onset	372.509353	1773.075828	3181.19775	1408.121922
sub_07	female	69.61508011	NA	csse_16	l	meal	NA	104.0020021	cs	two	english	l_clarity	coda	585.3472261	1346.311056	3330.308027	1983.996972
sub_07	female	80.13151209	NA	csse_29	l	carril	NA	83.80669858	cs	one	spanish	l_clarity	coda	363.5567798	1799.867056	3103.841707	1303.974651
sub_07	female	85.95679058	NA	csse_14	l	doll	NA	38.53935007	cs	two	english	l_clarity	coda	427.1812003	1356.565535	3178.465453	1821.899918
sub_07	female	91.00880202	NA	csse_01	l	locket	NA	98.07787059	cs	two	english	l_clarity	onset	433.0534335	1192.654551	2980.329077	1787.674526
sub_07	female	106.798423	NA	csse_04	l	leases	NA	99.78711366	cs	two	english	l_clarity	onset	367.8404049	1883.582139	3130.411449	1246.829309
sub_07	female	113.2423149	NA	csse_02	l	locker	NA	108.1870146	cs	two	english	l_clarity	onset	434.8585003	1209.195696	3157.344287	1948.148591
sub_07	female	123.2947862	NA	csse_27	l	lapiz	NA	99.52594515	cs	one	spanish	l_clarity	onset	440.0500359	1633.856917	3174.594828	1540.737911
sub_07	female	128.5530019	NA	csse_15	l	wheel	NA	149.8543852	cs	two	english	l_clarity	coda	565.1596512	1241.460054	2779.536095	1538.076041
sub_07	female	139.4880733	NA	csse_30	l	marfil	NA	82.91587574	cs	one	spanish	l_clarity	coda	439.9983769	1685.298721	3089.140958	1403.842236
sub_07	female	149.6861883	NA	csse_32	l	pangal	NA	65.72012566	cs	one	spanish	l_clarity	coda	565.5554053	1415.167641	2666.096244	1250.928603
sub_07	female	165.0999774	NA	csse_13	l	ball	NA	141.4181638	cs	two	english	l_clarity	coda	707.9589906	1193.275447	3001.565244	1808.289798
sub_07	female	190.8755445	NA	csse_31	l	panal	NA	66.09902099	cs	one	spanish	l_clarity	coda	527.3128971	1534.744407	3060.042411	1525.298004
sub_07	female	195.8411405	NA	csse_28	l	latas	NA	70.60412622	cs	one	spanish	l_clarity	onset	439.3265814	1280.148581	2939.205094	1659.056513
sub_07	female	200.6869471	NA	csse_29	l	carril	NA	79.99244696	cs	one	spanish	l_clarity	coda	387.7174943	1695.183957	3036.699562	1341.515605
sub_07	female	223.8849575	NA	csse_31	l	panal	NA	82.59099252	cs	one	spanish	l_clarity	coda	561.1671305	1582.184707	2964.846545	1382.661838
sub_07	female	228.7823152	NA	csse_03	l	leeches	NA	101.2912273	cs	two	english	l_clarity	onset	365.74648	1989.964664	3080.154971	1090.190307
sub_07	female	243.1783461	NA	csse_30	l	marfil	NA	89.4290392	cs	one	spanish	l_clarity	coda	465.012001	1696.147656	2966.827458	1270.679802
sub_07	female	247.7148456	NA	csse_01	l	locket	NA	103.882786	cs	two	english	l_clarity	onset	465.6105986	1204.05932	2940.785418	1736.726098
sub_07	female	262.097611	NA	csse_13	l	ball	NA	88.51976727	cs	two	english	l_clarity	coda	652.1725146	1100.929456	3035.200422	1934.270966
sub_07	female	266.4794571	NA	csse_04	l	leases	NA	89.88128281	cs	two	english	l_clarity	onset	375.4652378	1736.182592	3092.917659	1356.735067
sub_07	female	270.2942408	NA	csse_14	l	doll	NA	38.43930569	cs	two	english	l_clarity	coda	463.7731908	1301.447044	3156.176529	1854.729485
sub_07	female	274.5214335	NA	csse_27	l	lapiz	NA	93.61995293	cs	one	spanish	l_clarity	onset	501.0252682	1629.396136	2920.253319	1290.857183
sub_07	female	279.1094841	NA	csse_15	l	wheel	NA	79.57088556	cs	two	english	l_clarity	coda	526.7506204	1472.028631	2770.687295	1298.658665
sub_07	female	283.5944325	NA	csse_32	l	pangal	NA	57.37711027	cs	one	spanish	l_clarity	coda	557.1416183	1466.736123	2876.297447	1409.561324
sub_07	female	291.736736	NA	csse_16	l	meal	NA	101.4181953	cs	two	english	l_clarity	coda	564.9774783	1458.337474	3226.607775	1768.270301
sub_07	female	296.2216842	NA	csse_25	l	libro	NA	85.32940099	cs	one	spanish	l_clarity	onset	358.3374	1927.653511	3013.777996	1086.124485
sub_07	female	300.5004278	NA	csse_26	l	lima	NA	75.33634543	cs	one	spanish	l_clarity	onset	429.2627224	1741.191693	3081.502687	1340.310994
sub_07	female	323.6984356	NA	csse_02	l	locker	NA	95.71867006	cs	two	english	l_clarity	onset	426.7933641	1229.313074	2945.064908	1715.751835
sub_07	female	405.5738357	NA	cses_13	l	panal	NA	65.62787035	cs	two	spanish	l_clarity	coda	521.0781758	1467.039438	3066.535557	1599.496119
sub_07	female	414.0282207	NA	cses_25	l	leases	NA	94.17784153	cs	one	english	l_clarity	onset	420.1345836	1734.760096	3031.618167	1296.858072
sub_07	female	441.2106467	NA	cses_01	l	lapiz	NA	118.7649223	cs	two	spanish	l_clarity	onset	424.042379	1596.925044	3122.346707	1525.421662
sub_07	female	450.180543	NA	cses_14	l	pangal	NA	76.95713454	cs	two	spanish	l_clarity	coda	493.7736826	1586.73304	3046.023779	1459.290739
sub_07	female	454.8201445	NA	cses_02	l	latas	NA	46.53369095	cs	two	spanish	l_clarity	onset	413.2126172	1299.213276	3226.180442	1926.967166
sub_07	female	464.3055521	NA	cses_28	l	locket	NA	108.7540815	cs	one	english	l_clarity	onset	462.1495469	1335.525957	3223.247025	1887.721068
sub_07	female	473.5195193	NA	cses_29	l	meal	NA	97.60322281	cs	one	english	l_clarity	coda	756.8087613	1220.338351	3046.483697	1826.145346
sub_07	female	480.3242682	NA	cses_32	l	ball	NA	34.78746115	cs	one	english	l_clarity	coda	687.5377583	1452.374739	3055.526747	1603.152009
sub_07	female	484.9123186	NA	cses_15	l	carril	NA	57.17035465	cs	two	spanish	l_clarity	coda	403.3077338	1268.25892	3049.330758	1781.071838
sub_07	female	494.0368683	NA	cses_26	l	leeches	NA	85.40386245	cs	one	english	l_clarity	onset	384.1766235	1484.324166	3280.321622	1795.997457
sub_07	female	499.2940223	NA	cses_03	l	libro	NA	43.92614281	cs	two	spanish	l_clarity	onset	353.8776519	1568.111531	2913.129783	1345.018252
sub_07	female	504.4491346	NA	cses_04	l	lima	NA	96.88075319	cs	two	spanish	l_clarity	onset	415.9694712	1773.343891	3198.485968	1425.142076
sub_07	female	509.2949401	NA	cses_31	l	doll	NA	46.36024461	cs	one	english	l_clarity	coda	616.9229938	1003.324647	2988.969241	1985.644594
sub_07	female	537.8542623	NA	cses_16	l	marfil	NA	63.73867004	cs	two	spanish	l_clarity	coda	427.7003851	1651.760783	3080.040265	1428.279482
sub_07	female	546.2898356	NA	cses_30	l	wheel	NA	78.55816043	cs	one	english	l_clarity	coda	580.4149271	1533.550169	2976.297515	1442.747345
sub_07	female	551.1356409	NA	cses_27	l	locker	NA	104.1013391	cs	one	english	l_clarity	onset	457.9807705	1617.719633	2846.678474	1228.958842
sub_07	female	560.4663939	NA	cses_32	l	ball	NA	26.64006716	cs	one	english	l_clarity	coda	490.4258004	1546.969015	2905.400253	1358.431238
sub_07	female	564.745137	NA	cses_13	l	panal	NA	70.34542131	cs	two	spanish	l_clarity	coda	519.108688	1511.434606	2762.868094	1251.433489
sub_07	female	569.0754311	NA	cses_03	l	libro	NA	64.43277396	cs	two	spanish	l_clarity	onset	414.1949325	1548.989086	3012.860305	1463.871219
sub_07	female	579.1794509	NA	cses_26	l	leeches	NA	87.13006834	cs	one	english	l_clarity	onset	412.1827103	1302.590563	3235.922814	1933.332251
sub_07	female	589.4319383	NA	cses_14	l	pangal	NA	81.30629094	cs	two	spanish	l_clarity	coda	459.6542974	1555.912526	3074.497413	1518.584888
sub_07	female	603.350741	NA	cses_04	l	lima	NA	90.36099395	cs	two	spanish	l_clarity	onset	417.791585	1665.370742	3183.500465	1518.129723
sub_07	female	607.6810352	NA	cses_01	l	lapiz	NA	110.099964	cs	two	spanish	l_clarity	onset	471.0812516	1569.749073	3079.421106	1509.672033
sub_07	female	620.2595088	NA	cses_27	l	locker	NA	95.96843757	cs	one	english	l_clarity	onset	418.7491937	1687.76722	2631.918163	944.150943
sub_07	female	632.27092	NA	cses_28	l	locket	NA	103.9811661	cs	one	english	l_clarity	onset	446.1900207	1224.784847	3132.025854	1907.241007
sub_07	female	644.6759294	NA	cses_29	l	meal	NA	54.53857973	cs	one	english	l_clarity	coda	723.4877468	1876.254563	3007.66387	1131.409307
sub_07	female	653.7489267	NA	cses_16	l	marfil	NA	77.30127616	cs	two	spanish	l_clarity	coda	431.743697	1554.857926	3104.9715	1550.113574
sub_07	female	661.8940039	NA	cses_31	l	doll	NA	64.17954985	cs	one	english	l_clarity	coda	685.7676475	1160.340519	2775.383541	1615.043022
sub_07	female	671.0185524	NA	cses_30	l	wheel	NA	71.17463473	cs	one	english	l_clarity	coda	577.7681969	1737.627977	2788.370737	1050.742759
sub_07	female	675.5034999	NA	cses_02	l	latas	NA	40.01259568	cs	two	spanish	l_clarity	onset	440.6987869	1351.785085	3096.378791	1744.593706
sub_07	female	679.9368963	NA	cses_15	l	carril	NA	51.86948657	cs	two	spanish	l_clarity	coda	388.4858565	1341.014561	2551.49635	1210.481789
sub_07	female	688.6158933	NA	cses_25	l	leases	NA	85.2493642	cs	one	english	l_clarity	onset	466.8739256	1333.564542	3093.613899	1760.049357
sub_07	female	735.7400555	NA	e_16	l	wheel	NA	132.6533614	ml	two	english	l_clarity	coda	557.0465934	1256.255587	3180.346107	1924.09052
sub_07	female	740.9982698	NA	e_29	l	meal	NA	130.8429956	ml	one	english	l_clarity	coda	646.2770902	1205.723251	3219.493589	2013.770338
sub_07	female	745.0708084	NA	e_31	l	doll	NA	55.69697026	ml	one	english	l_clarity	coda	713.4949357	1172.951121	3138.788098	1965.836977
sub_07	female	762.5466385	NA	e_13	l	doll	NA	38.34345315	ml	two	english	l_clarity	coda	698.8793887	1363.561766	3204.310539	1840.748773
sub_07	female	776.0014812	NA	e_15	l	meal	NA	95.68574887	ml	two	english	l_clarity	coda	631.4604235	1376.974128	2993.253188	1616.27906
sub_07	female	780.4864287	NA	e_03	l	leases	NA	88.33723043	ml	two	english	l_clarity	onset	406.7830085	1459.533634	3008.783526	1549.249892
sub_07	female	790.2268247	NA	e_26	l	leeches	NA	86.55954727	ml	one	english	l_clarity	onset	443.1913864	1280.418296	3186.82709	1906.408794
sub_07	female	817.6520212	NA	e_32	l	ball	NA	31.07848455	ml	one	english	l_clarity	coda	555.0279651	896.2509774	3069.837636	2173.586659
sub_07	female	822.2916221	NA	e_02	l	locket	NA	34.90257499	ml	two	english	l_clarity	onset	404.1626414	1044.026843	2875.185808	1831.158964
sub_07	female	832.0142632	NA	e_27	l	locker	NA	86.86733987	ml	one	english	l_clarity	onset	502.1692951	1157.20092	2945.115242	1787.914322
sub_07	female	836.8376789	NA	e_28	l	locket	NA	122.617516	ml	one	english	l_clarity	onset	509.5191253	1105.203785	3192.266133	2087.062348
sub_07	female	845.4691059	NA	e_14	l	ball	NA	248.9049984	ml	two	english	l_clarity	coda	770.1838544	1018.193638	3185.640009	2167.446371
sub_07	female	854.3874499	NA	e_01	l	locker	NA	97.09617991	ml	two	english	l_clarity	onset	473.3423895	1132.523239	2972.48355	1839.960311
sub_07	female	858.6661929	NA	e_04	l	leeches	NA	85.47888255	ml	two	english	l_clarity	onset	329.3288975	1523.354673	2739.38655	1216.031877
sub_07	female	871.86328	NA	e_25	l	leases	NA	73.44842891	ml	one	english	l_clarity	onset	437.4674461	1178.6415	3214.518321	2035.876821
sub_07	female	875.6265118	NA	e_30	l	wheel	NA	43.3358991	ml	one	english	l_clarity	coda	535.628497	1681.843154	2727.096901	1045.253748
sub_07	female	879.9523308	NA	e_01	l	locker	NA	101.2559685	ml	two	english	l_clarity	onset	492.2852486	1162.601422	3007.620795	1845.019373
