"speaker"	"gender"	"time_stamp"	"sent_comment"	"sentence"	"phoneme"	"word"	"word_comment"	"duration_ms"	"context"	"word_number"	"language"	"feature"	"l_position"	"f1"	"f2"	"f3"	"f3_f2"
"1"	"sub_48"	"female"	808.508	NA	"csse_27"	"l"	"lapiz"	NA	61.4067707098229	"cs"	"one"	"spanish"	"l_clarity"	"onset"	463.654321546604	2011.9854161754	3075.83729663261	1063.85188045721
"2"	"sub_48"	"female"	818.092	NA	"csse_26"	"l"	"lima"	NA	63.7691138036871	"cs"	"one"	"spanish"	"l_clarity"	"onset"	412.816201424216	2242.55395326091	3057.46323291323	814.90927965232
"3"	"sub_48"	"female"	822.46	NA	"csse_30"	"l"	"marfil"	NA	117.240043042557	"cs"	"one"	"spanish"	"l_clarity"	"coda"	421.947205034624	1917.26313148635	3235.20148076644	1317.93834928009
"4"	"sub_48"	"female"	826.636	NA	"csse_01"	"l"	"locket"	NA	96.6808636836731	"cs"	"two"	"english"	"l_clarity"	"onset"	552.366796863422	1312.45933180801	3269.55863203256	1957.09930022455
"5"	"sub_48"	"female"	839.364	NA	"csse_16"	"l"	"meal"	NA	95.0477254216366	"cs"	"two"	"english"	"l_clarity"	"coda"	585.55885738583	1481.68740517022	3465.60544988484	1983.91804471462
"6"	"sub_48"	"female"	843.284	NA	"csse_28"	"l"	"latas"	NA	62.6841693112965	"cs"	"one"	"spanish"	"l_clarity"	"onset"	437.257088776434	1802.96453164201	3278.88037299223	1475.91584135022
"7"	"sub_48"	"female"	847.372	NA	"csse_03"	"l"	"leeches"	NA	64.6824304424172	"cs"	"two"	"english"	"l_clarity"	"onset"	405.637603172012	1634.29642645301	3370.52933542181	1736.2329089688
"8"	"sub_48"	"female"	868.036	NA	"csse_25"	"l"	"libro"	NA	77.7166023540303	"cs"	"one"	"spanish"	"l_clarity"	"onset"	394.544910006256	2086	2749	663
"9"	"sub_48"	"female"	871.956	NA	"csse_13"	"l"	"ball"	NA	102.549046508329	"cs"	"two"	"english"	"l_clarity"	"coda"	628.304652436061	1215.59858712946	3336.98397115968	2121.38538403022
"10"	"sub_48"	"female"	875.94	NA	"csse_29"	"l"	"carril"	NA	53.5260904180177	"cs"	"one"	"spanish"	"l_clarity"	"coda"	412.632433929773	2125.26645768797	3297.32717461645	1172.06071692848
"11"	"sub_48"	"female"	880.524	NA	"csse_15"	"l"	"wheel"	NA	137.697691308517	"cs"	"two"	"english"	"l_clarity"	"coda"	549.523158405492	1297.97084439586	3363.24238609808	2065.27154170222
"12"	"sub_48"	"female"	884.868	NA	"csse_04"	"l"	"leases"	NA	65.1271648019929	"cs"	"two"	"english"	"l_clarity"	"onset"	376.661877376005	1895.50174393774	3288.58538304651	1393.08363910877
"13"	"sub_48"	"female"	899.796	NA	"csse_31"	"l"	"panal"	NA	66.5332632502214	"cs"	"one"	"spanish"	"l_clarity"	"coda"	683.430155737595	1873.34592290993	3346.08326290008	1472.73733999015
"14"	"sub_48"	"female"	911.796	NA	"csse_32"	"l"	"pangal"	NA	67.5678505273254	"cs"	"one"	"spanish"	"l_clarity"	"coda"	585.171028085354	1869.22924480817	2892.34101875884	1023.11177395067
"15"	"sub_48"	"female"	922.212	NA	"csse_02"	"l"	"locker"	NA	106.261655141907	"cs"	"two"	"english"	"l_clarity"	"onset"	457.367525985741	1213.16712778066	2854.02781669327	1640.86068891261
"16"	"sub_48"	"female"	930.02	"disf"	"csse_14"	"l"	"doll"	NA	125.886576153562	"cs"	"two"	"english"	"l_clarity"	"coda"	503.989561063101	1139.64173826913	3541.98535363794	2402.34361536881
"17"	"sub_48"	"female"	949.148	NA	"csse_14"	"l"	"doll"	NA	107.482641598267	"cs"	"two"	"english"	"l_clarity"	"coda"	568.411882546972	1182.98226759607	3386.45542595891	2203.47315836284
"18"	"sub_48"	"female"	952.796	NA	"csse_31"	"l"	"panal"	NA	61.5095255031974	"cs"	"one"	"spanish"	"l_clarity"	"coda"	608.645884882603	2004.02163694589	3233.41441613039	1229.3927791845
"19"	"sub_48"	"female"	956.668	NA	"csse_03"	"l"	"leeches"	NA	76.5841451672031	"cs"	"two"	"english"	"l_clarity"	"onset"	328.876592531424	1927.53240086273	3121.69555664498	1194.16315578225
"20"	"sub_48"	"female"	964.676	NA	"csse_13"	"l"	"ball"	NA	90.8308660659713	"cs"	"two"	"english"	"l_clarity"	"coda"	642.223069215785	1217.34110699276	3412.43558597877	2195.09447898601
"21"	"sub_48"	"female"	973.228	NA	"csse_28"	"l"	"latas"	NA	56.4438965805039	"cs"	"one"	"spanish"	"l_clarity"	"onset"	389.46875075174	1811.42243574582	3164.75899179089	1353.33655604507
"22"	"sub_48"	"female"	983.692	NA	"csse_27"	"l"	"lapiz"	NA	87.8851058403143	"cs"	"one"	"spanish"	"l_clarity"	"onset"	411.606902047492	2032.65827467662	3297.5542223975	1264.89594772088
"23"	"sub_48"	"female"	991.668	NA	"csse_25"	"l"	"libro"	NA	101.622974570546	"cs"	"one"	"spanish"	"l_clarity"	"onset"	370.172390833627	2230.4392309321	3274.05360991582	1043.61437898372
"24"	"sub_48"	"female"	995.044	NA	"csse_16"	"l"	"meal"	NA	74.728020441853	"cs"	"two"	"english"	"l_clarity"	"coda"	542.203603003913	1509.67740334998	3541.41876910417	2031.74136575419
"25"	"sub_48"	"female"	998.308	NA	"csse_26"	"l"	"lima"	NA	80.3292901358645	"cs"	"one"	"spanish"	"l_clarity"	"onset"	398.881102679298	2086.02820597988	3268.5376071792	1182.50940119932
"26"	"sub_48"	"female"	1002.228	NA	"csse_02"	"l"	"locker"	NA	75.6575769560186	"cs"	"two"	"english"	"l_clarity"	"onset"	446.330302932499	1276.11322608723	3282.59875255982	2006.48552647259
"27"	"sub_48"	"female"	1011.7	NA	"csse_32"	"l"	"pangal"	NA	64.1292240119355	"cs"	"one"	"spanish"	"l_clarity"	"coda"	550.989340647093	1856.32053888912	2952.16455934052	1095.8440204514
"28"	"sub_48"	"female"	1015.324	NA	"csse_29"	"l"	"carril"	NA	85.0626509114818	"cs"	"one"	"spanish"	"l_clarity"	"coda"	418.82723160684	2019.93629569562	3059.0640941691	1039.12779847348
"29"	"sub_48"	"female"	1034.284	NA	"csse_01"	"l"	"locket"	NA	81.2723940994147	"cs"	"two"	"english"	"l_clarity"	"onset"	563.772916174181	1264.9776015062	3341.37693912447	2076.39933761827
