"speaker"	"gender"	"time_stamp"	"sent_comment"	"sentence"	"phoneme"	"word"	"word_comment"	"duration_ms"	"context"	"word_number"	"language"	"feature"	"l_position"	"f1"	"f2"	"f3"	"f3_f2"
"29"	"sub_36"	"female"	367.02	NA	"s_31"	"l"	"panal"	NA	49.0620662068295	"ml"	"one"	"spanish"	"l_clarity"	"coda"	428.514756085671	1624.08913391979	3003.76168767834	1379.67255375854
"30"	"sub_36"	"female"	371.612	NA	"s_14"	"l"	"pangal"	NA	188.499076880021	"ml"	"two"	"spanish"	"l_clarity"	"coda"	397.125700149204	1812.99799855316	2931.54571184746	1118.5477132943
"31"	"sub_36"	"female"	384.108	"disf"	"s_02"	"l"	"latas"	NA	104.095224813705	"ml"	"two"	"spanish"	"l_clarity"	"onset"	440.007938318287	1617.78518584285	2866.85478213295	1249.06959629009
"32"	"sub_36"	"female"	389.492	NA	"s_25"	"l"	"libro"	NA	108.074472805413	"ml"	"one"	"spanish"	"l_clarity"	"onset"	376.341985608762	2486.91828551205	3131.96376585753	645.045480345474
"33"	"sub_36"	"female"	428.74	NA	"e_02"	"l"	"locket"	NA	53.0844681227336	"ml"	"two"	"english"	"l_clarity"	"onset"	478.559516946968	1139.09676387519	2972.788070594	1833.6913067188
"34"	"sub_36"	"female"	434.948	NA	"e_04"	"l"	"leeches"	NA	61.1668575263025	"ml"	"two"	"english"	"l_clarity"	"onset"	397.851076713402	1354.10400765965	2822.65639881632	1468.55239115667
"35"	"sub_36"	"female"	443.052	NA	"e_26"	"l"	"leeches"	NA	81.9305373560724	"ml"	"one"	"english"	"l_clarity"	"onset"	391.175999665191	1741.90132462111	2758.99402889463	1017.09270427352
"36"	"sub_36"	"female"	451.332	NA	"e_28"	"l"	"locket"	NA	100.771964703483	"ml"	"one"	"english"	"l_clarity"	"onset"	409.121007388702	1477.12946552311	3109.9958174911	1632.86635196798
"37"	"sub_36"	"female"	456.124	NA	"e_27"	"l"	"locker"	NA	69.3132769383169	"ml"	"one"	"english"	"l_clarity"	"onset"	435.950801876676	1273.76222107043	3048.84700827936	1775.08478720893
"38"	"sub_36"	"female"	466.38	NA	"e_32"	"l"	"ball"	NA	71.8812599217813	"ml"	"one"	"english"	"l_clarity"	"coda"	748.683448362214	1089.88378319463	2526.52345584026	1436.63967264562
"39"	"sub_36"	"female"	470.572	NA	"e_15"	"l"	"meal"	NA	75.0401614064913	"ml"	"two"	"english"	"l_clarity"	"coda"	530.434906907981	1295.27213513063	3249.09965685985	1953.82752172922
"40"	"sub_36"	"female"	488.116	NA	"e_30"	"l"	"wheel"	NA	58.6469922801029	"ml"	"one"	"english"	"l_clarity"	"coda"	466.22334246103	1405.60865580651	3248.06017484038	1842.45151903387
