"speaker"	"gender"	"time_stamp"	"sent_comment"	"sentence"	"phoneme"	"word"	"word_comment"	"duration_ms"	"context"	"word_number"	"language"	"feature"	"l_position"	"f1"	"f2"	"f3"	"f3_f2"
"1"	"sub_29"	"female"	41.9909602744486	NA	"cses_16"	"l"	"marfil"	NA	54.1507938560244	"cs"	"two"	"spanish"	"l_clarity"	"coda"	1861.30128029987	2815.27627795371	3344.49804120695	529.221763253239
"2"	"sub_29"	"female"	51.82	"disf"	"cses_29"	"l"	"meal"	NA	93.3791582722563	"cs"	"one"	"english"	"l_clarity"	"coda"	541.623448494276	1444.28894929434	3086.76501688684	1642.47606759249
"3"	"sub_29"	"female"	57.0841776407487	NA	"cses_03"	"l"	"libro"	NA	50.9514880096091	"cs"	"two"	"spanish"	"l_clarity"	"onset"	234.38015030391	2091.48218940348	2929.78199712236	838.299807718889
"4"	"sub_29"	"female"	61.74	"disf"	"cses_26"	"l"	"leeches"	NA	43.4950338781093	"cs"	"one"	"english"	"l_clarity"	"onset"	414.375307366586	1833.14479276149	2863.98664671091	1030.84185394942
"5"	"sub_29"	"female"	79.676	NA	"cses_15"	"l"	"carril"	NA	82.2846223024669	"cs"	"two"	"spanish"	"l_clarity"	"coda"	349.241042092816	2471.21150423392	3052.58334721409	581.37184298017
"6"	"sub_29"	"female"	91.844	NA	"cses_13"	"l"	"panal"	NA	77.2017324400736	"cs"	"two"	"spanish"	"l_clarity"	"coda"	338.232153452509	1851.94744324269	2991.87082211748	1139.92337887479
"7"	"sub_29"	"female"	96.484	NA	"cses_31"	"l"	"doll"	NA	65.8528918836083	"cs"	"one"	"english"	"l_clarity"	"coda"	622.221025128976	1063.53174335349	3096.49684317847	2032.96509982498
"8"	"sub_29"	"female"	109.096902036074	NA	"cses_02"	"l"	"latas"	NA	87.1830546758616	"cs"	"two"	"spanish"	"l_clarity"	"onset"	1514.47439216051	2298.33896259803	3126.64836230111	828.309399703089
"9"	"sub_29"	"female"	113.53502486645	NA	"cses_28"	"l"	"locket"	"disf"	45.5796870965628	"cs"	"one"	"english"	"l_clarity"	"onset"	1125.24911472606	1377.9259652073	2689.50676751727	1311.58080230996
"10"	"sub_29"	"female"	117.246909415492	NA	"cses_14"	"l"	"pangal"	NA	56.8387618631192	"cs"	"two"	"spanish"	"l_clarity"	"coda"	1899.38355352883	2951.98464541432	3370.96267127467	418.978025860358
"11"	"sub_29"	"female"	121.676	"disf"	"cses_25"	"l"	"leases"	NA	50.2401929384035	"cs"	"one"	"english"	"l_clarity"	"onset"	1846.27398231054	2907.20195079074	3630.07937815338	722.877427362647
"12"	"sub_29"	"female"	125.934871077379	NA	"cses_01"	"l"	"lapiz"	NA	68.6290837350612	"cs"	"two"	"spanish"	"l_clarity"	"onset"	380.133035580494	1823.13021746022	3044.19558235796	1221.06536489774
"13"	"sub_29"	"female"	129.512333275823	NA	"cses_04"	"l"	"lima"	NA	72.1761470426259	"cs"	"two"	"spanish"	"l_clarity"	"onset"	380.497805792354	2088.45599525118	2772.25808538054	683.802090129364
"14"	"sub_29"	"female"	133.815967535582	NA	"cses_27"	"l"	"locker"	NA	96.3946707510104	"cs"	"one"	"english"	"l_clarity"	"onset"	406.897570757474	1155.88439255504	2985.73220010051	1829.84780754547
"15"	"sub_29"	"female"	143.472246905915	NA	"cses_32"	"l"	"ball"	NA	62.1470970797873	"cs"	"one"	"english"	"l_clarity"	"coda"	630.634255961209	1256.20174644863	2854.99297117358	1598.79122472495
"16"	"sub_29"	"female"	147.46	NA	"cses_30"	"l"	"wheel"	NA	70.4608091250236	"cs"	"one"	"english"	"l_clarity"	"coda"	546.818972908458	1366.18354455104	2891.83452344683	1525.65097889579
"17"	"sub_29"	"female"	182.784615897001	"disf"	"cses_29"	"l"	"meal"	NA	158.207142671188	"cs"	"one"	"english"	"l_clarity"	"coda"	583.917493776347	1539.08470174594	3039.39982904519	1500.31512729925
"18"	"sub_29"	"female"	188.917294717157	NA	"cses_03"	"l"	"libro"	NA	30.1398170479104	"cs"	"two"	"spanish"	"l_clarity"	"onset"	323.307221992975	2267.85183735428	3040.5888861564	772.737048802114
