"speaker"	"gender"	"time_stamp"	"sent_comment"	"sentence"	"phoneme"	"word"	"word_comment"	"duration_ms"	"context"	"word_number"	"language"	"feature"	"l_position"	"f1"	"f2"	"f3"	"f3_f2"
"1"	"sub_17"	"female"	48.116	NA	"e_13"	"l"	"doll"	NA	72.1275156973959	"ml"	"two"	"english"	"l_clarity"	"coda"	658.385412327685	1271.00863925739	3329.36047812341	2058.35183886602
"2"	"sub_17"	"female"	65.204	"disf"	"e_15"	"l"	"meal"	NA	68.9487494571495	"ml"	"two"	"english"	"l_clarity"	"coda"	562.534505489727	1423.84468748438	3349.12509465032	1925.28040716594
"3"	"sub_17"	"female"	69.564	NA	"e_26"	"l"	"leeches"	NA	65.9962550086846	"ml"	"one"	"english"	"l_clarity"	"onset"	406.123434586712	1271.43360587727	2969.62843617319	1698.19483029592
"4"	"sub_17"	"female"	77.564	NA	"e_27"	"l"	"locker"	NA	79.8724342373163	"ml"	"one"	"english"	"l_clarity"	"onset"	493.463841079714	1074.43851235977	3114.90262687495	2040.46411451518
"5"	"sub_17"	"female"	96.42	NA	"e_16"	"l"	"wheel"	NA	87.201934089677	"ml"	"two"	"english"	"l_clarity"	"coda"	555.421092172996	1288.01798209044	3250.36075229278	1962.34277020234
"6"	"sub_17"	"female"	101.116	NA	"e_01"	"l"	"locker"	NA	96.536637490928	"ml"	"two"	"english"	"l_clarity"	"onset"	477.595988904675	1030.68877660605	3343.06438277921	2312.37560617316
"7"	"sub_17"	"female"	104.732	"disf"	"e_31"	"l"	"doll"	NA	57.6139480532731	"ml"	"one"	"english"	"l_clarity"	"coda"	729.585022002453	1209.30448328807	3297.54337695976	2088.23889367169
"8"	"sub_17"	"female"	114.244	"disf"	"e_32"	"l"	"ball"	NA	89.8170558553062	"ml"	"one"	"english"	"l_clarity"	"coda"	728.213308124275	1057.04553650744	3405.66815279836	2348.62261629092
"9"	"sub_17"	"female"	118.78	NA	"e_25"	"l"	"leases"	NA	79.1255729383806	"ml"	"one"	"english"	"l_clarity"	"onset"	392.417360375648	1297.38138710018	2699.24860380766	1401.86721670748
"10"	"sub_17"	"female"	122.764	NA	"e_02"	"l"	"locket"	NA	74.4726798451865	"ml"	"two"	"english"	"l_clarity"	"onset"	600.879905940438	1132.09275483801	3212.92301188479	2080.83025704678
"11"	"sub_17"	"female"	139.564	NA	"e_14"	"l"	"ball"	NA	96.378963883808	"ml"	"two"	"english"	"l_clarity"	"coda"	670.766481607447	1057.13819953863	3146.72402651251	2089.58582697388
"12"	"sub_17"	"female"	143.356	NA	"e_28"	"l"	"locket"	NA	84.9465062912884	"ml"	"one"	"english"	"l_clarity"	"onset"	436.904889999382	1188.50835206576	3334.07854208203	2145.57019001627
"13"	"sub_17"	"female"	147.764	NA	"e_03"	"l"	"leases"	NA	75.7721015393997	"ml"	"two"	"english"	"l_clarity"	"onset"	362.640746842796	1272.93332697203	2951.97209141746	1679.03876444543
"14"	"sub_17"	"female"	152.372	"disf"	"e_30"	"l"	"wheel"	NA	46.3180706719584	"ml"	"one"	"english"	"l_clarity"	"coda"	524.332754631621	1652.59666105994	2994.89052225808	1342.29386119814
"15"	"sub_17"	"female"	160.004	"disf"	"e_04"	"l"	"leeches"	NA	71.6253235951569	"ml"	"two"	"english"	"l_clarity"	"onset"	372.604542513234	1209.49489186638	2494.30103419293	1284.80614232655
"16"	"sub_17"	"female"	164.236	NA	"e_29"	"l"	"meal"	NA	205.526929139268	"ml"	"one"	"english"	"l_clarity"	"coda"	653.432047912303	1442.08263655742	3702.56955176885	2260.48691521143
"17"	"sub_17"	"female"	172.444	NA	"e_26"	"l"	"leeches"	NA	69.8136870353778	"ml"	"one"	"english"	"l_clarity"	"onset"	368.717913860462	1340.30852459416	2856.24124054219	1515.93271594803
"18"	"sub_17"	"female"	176.284	NA	"e_14"	"l"	"ball"	NA	72.4708258547651	"ml"	"two"	"english"	"l_clarity"	"coda"	630.632252349485	1001.43949659513	3214.34762888184	2212.90813228671
"19"	"sub_17"	"female"	187.716	NA	"e_31"	"l"	"doll"	NA	57.8202550686058	"ml"	"one"	"english"	"l_clarity"	"coda"	654.957516198171	1126.22811025966	3530.47893317054	2404.25082291088
"20"	"sub_17"	"female"	195.732	"disf"	"e_25"	"l"	"leases"	NA	84.8069677578849	"ml"	"one"	"english"	"l_clarity"	"onset"	344.992238075463	1542.11196214456	3013.58879213546	1471.4768299909
"21"	"sub_17"	"female"	200.836	NA	"e_03"	"l"	"leases"	NA	65.5039293475284	"ml"	"two"	"english"	"l_clarity"	"onset"	603.918608934875	1675.72703398364	3085.030945091	1409.30391110736
"22"	"sub_17"	"female"	206.348	NA	"e_28"	"l"	"locket"	NA	72.4715014717674	"ml"	"one"	"english"	"l_clarity"	"onset"	439.558344603455	1129.17303444118	3085.71249969213	1956.53946525095
"23"	"sub_17"	"female"	214.14	NA	"e_27"	"l"	"locker"	NA	56.3131705136186	"ml"	"one"	"english"	"l_clarity"	"onset"	506.728682702029	1100.43659975759	3217.67986961384	2117.24326985625
"24"	"sub_17"	"female"	225.588	NA	"e_15"	"l"	"meal"	NA	90.9880547737316	"ml"	"two"	"english"	"l_clarity"	"coda"	560.784191792167	1237.910908028	3025.90057273316	1787.98966470516
"25"	"sub_17"	"female"	236.532	NA	"e_32"	"l"	"ball"	NA	49.4056250650488	"ml"	"one"	"english"	"l_clarity"	"coda"	550.921897186632	1431.2789938681	3083.85379251258	1652.57479864448
"26"	"sub_17"	"female"	249.068	NA	"e_04"	"l"	"leeches"	NA	60.8580301481823	"ml"	"two"	"english"	"l_clarity"	"onset"	416.625602455769	1365.57030440215	3018.33732904267	1652.76702464052
