speaker	language	word_number	word	spontaneous_response	uncued	cue_semantic_correct	cue_semantic_incorrect	cue_phonemic_correct	cue_phonemic_incorrect
sub_02	english	63	gauge, barometer, manometer	meter, DK					x
sub_02	english	64	porthole		x				
sub_02	english	65	anvil	DK					x
sub_02	english	66	mortar	mixer, DK					x
sub_02	english	67	pestle						x
sub_02	english	68	axle		x				
sub_02	spanish	1	mano		x				
sub_02	spanish	2	perro		x				
sub_02	spanish	3	árbol		x				
sub_02	spanish	4	cama		x				
sub_02	spanish	5	puerta		x				
sub_02	spanish	6	sol		x				
sub_02	spanish	7	libro		x				
sub_02	spanish	8	mariposa		x				
sub_02	spanish	9	tijeras		x				
sub_02	spanish	10	llave		x				
sub_02	spanish	11	silla		x				
sub_02	spanish	12	luna		x				
sub_02	spanish	13	avión		x				
sub_02	spanish	14	manzana		x				
sub_02	spanish	15	pescado, pez		x				
sub_02	spanish	16	uvas		x				
sub_02	spanish	17	caballo		x				
sub_02	spanish	18	tambor		x				
sub_02	spanish	19	guante		x				
sub_02	spanish	20	foco, bombilla		x				
sub_02	spanish	21	pastel, tarta		x				
sub_02	spanish	22	reloj		x				
sub_02	spanish	23	oso		x				
sub_02	spanish	24	tenedor		x				
sub_02	spanish	25	sombrero	gorra	x				
sub_02	spanish	26	hoja		x				
sub_02	spanish	27	corbata		x				
sub_02	spanish	28	vela	candela	x				
sub_02	spanish	29	canasta, cesta		x				
sub_02	spanish	30	payaso		x				
sub_02	spanish	31	papalote, cometa, barrilete		x				
sub_02	spanish	32	arco iris		x				
sub_02	spanish	33	bruja		x				
sub_02	spanish	34	subibaja, balancín, columpio		x				
sub_02	spanish	35	linterna, lámpara portátil		x				
sub_02	spanish	36	nube		x				
sub_02	spanish	37	plancha		x				
sub_02	spanish	38	pluma		x				
sub_02	spanish	39	pavo real		x				
sub_02	spanish	40	puente		x				
sub_02	spanish	41	hueso		x				
sub_02	spanish	42	caracol		x				
sub_02	spanish	43	zíper, cierre, cremallera	cierre	x				
sub_02	spanish	44	candado		x				
