speaker	gender	time_stamp	sentence
sub_16	female	120.34000000000002	csse_23_disf
sub_16	female	126.34000000000002	csse_27_disf
sub_16	female	133.972	csse_19
sub_16	female	140.50799999999998	csse_22
sub_16	female	145.964	csse_05
sub_16	female	151.732	csse_08
sub_16	female	156.868	csse_17
sub_16	female	163.55599999999998	csse_31_disf
sub_16	female	169.332	csse_24
sub_16	female	174.54799999999997	csse_02
sub_16	female	181.172	csse_01
sub_16	female	187.7	csse_10_disf
sub_16	female	193.64399999999998	csse_18
sub_16	female	198.85999999999999	csse_12
sub_16	female	204.11599999999999	csse_28_disf
sub_16	female	216.268	csse_26_disf
sub_16	female	224.54799999999997	csse_16_disf
sub_16	female	230.628	csse_04
sub_16	female	235.1	csse_14_disf
sub_16	female	243.588	csse_06
sub_16	female	249.92399999999998	csse_32_disf
sub_16	female	257.268	csse_30
sub_16	female	262.42	csse_20
sub_16	female	267.684	csse_11
sub_16	female	273.084	csse_21
sub_16	female	279.332	csse_03
sub_16	female	285.29200000000003	csse_29
sub_16	female	291.92400000000004	csse_07_disf
sub_16	female	298.572	csse_25
sub_16	female	304.41200000000003	csse_13_disf
sub_16	female	311.66	csse_15
sub_16	female	317.43600000000004	csse_09
sub_16	female	323.80400000000003	csse_20
sub_16	female	329.53200000000004	csse_11_disf
sub_16	female	337.04386020810813	csse_09
sub_16	female	343.31600000000003	csse_22
sub_16	female	348.196	csse_26_disf
sub_16	female	354.70000000000005	csse_10
sub_16	female	359.076	csse_29_disf
sub_16	female	367.02000000000004	csse_32_disf
sub_16	female	372.732	csse_16_disf
sub_16	female	378.11600000000004	csse_07
sub_16	female	383.668	csse_31
sub_16	female	388.772	csse_08
sub_16	female	392.85200000000003	csse_21
sub_16	female	398.084	csse_17
sub_16	female	403.14000000000004	csse_03
sub_16	female	408.58000000000004	csse_28_disf
sub_16	female	416.564	csse_13
sub_16	female	422.85200000000003	csse_25
sub_16	female	428.332	csse_27
sub_16	female	433.428	csse_14
sub_16	female	438.404	csse_18
sub_16	female	442.87349044092616	csse_24
sub_16	female	446.836	csse_12
sub_16	female	451.09200000000004	csse_06
sub_16	female	456.75600000000003	csse_05
sub_16	female	461.748	csse_02
sub_16	female	465.988	csse_15
sub_16	female	471.108	csse_01
sub_16	female	476.34000000000003	csse_30_disf
sub_16	female	482.596	csse_19
sub_16	female	487.90000000000003	csse_23
sub_16	female	493.09200000000004	csse_04
sub_16	female	550.628	cses_07
sub_16	female	555.244	cses_21_disf
sub_16	female	560.556	cses_10_disf
sub_16	female	566.868	cses_08
sub_16	female	571.484	cses_16
sub_16	female	577.7578410252887	cses_22_disf
sub_16	female	583.2520000000001	cses_15_disf
sub_16	female	589.02	cses_27
sub_16	female	594.068	cses_14_disf
sub_16	female	600.092	cses_12_disf
sub_16	female	607.956	cses_03
sub_16	female	614.1320000000001	cses_31_disf
sub_16	female	623.604	cses_09_disf
sub_16	female	631.188	cses_18
sub_16	female	636.028	cses_19
sub_16	female	641.1560000000001	cses_04_disf
sub_16	female	646.532	cses_26_disf
sub_16	female	652.7	cses_32_disf
sub_16	female	659.404	cses_02
sub_16	female	665.028	cses_17
sub_16	female	670.076	cses_25_disf
sub_16	female	676.332	cses_23
sub_16	female	682.068	cses_28
sub_16	female	686.66	cses_29
sub_16	female	692.46	cses_20_disf
sub_16	female	701.1320000000001	cses_05_disf
sub_16	female	706.3480000000001	cses_24
sub_16	female	710.548	cses_01
sub_16	female	715.708	cses_13
sub_16	female	721.2520000000001	cses_06
sub_16	female	727.044	cses_30
sub_16	female	732.884	cses_11_disf
sub_16	female	738.092	cses_13
sub_16	female	742.476	cses_28
sub_16	female	746.212	cses_19
sub_16	female	751.0600000000001	cses_15
sub_16	female	755.756	cses_04
sub_16	female	760.572	cses_14_disf
sub_16	female	765.34	cses_16
sub_16	female	769.004	cses_12_disf
sub_16	female	774.436	cses_31_disf
sub_16	female	779.188	cses_09
sub_16	female	783.028	cses_01
sub_16	female	787.9	cses_06
sub_16	female	792.82	cses_26
sub_16	female	797.3960000000001	cses_10
sub_16	female	801.604	cses_03
sub_16	female	806.58	cses_32
sub_16	female	810.956	cses_07_disf
sub_16	female	817.212	cses_08
sub_16	female	822.332	cses_24
sub_16	female	826.596	cses_30
sub_16	female	831.668	cses_29
sub_16	female	836.612	cses_18
sub_16	female	840.94	cses_21
sub_16	female	848.2755871308051	cses_22_disf
sub_16	female	852.652	cses_05
sub_16	female	856.86	cses_20_disf
sub_16	female	862.196	cses_17
sub_16	female	866.268	cses_27
sub_16	female	870.828	cses_11
sub_16	female	875.22	cses_02
sub_16	female	879.532	cses_23_disf
sub_16	female	887.812	cses_25
sub_16	female	914.764	s_04
sub_16	female	919.052	s_25
sub_16	female	926.1524026994454	s_18
sub_16	female	931.212	s_32
sub_16	female	935.044	s_10
sub_16	female	939.956	s_01
sub_16	female	944.164	s_30
sub_16	female	948.028	s_26
sub_16	female	952.0600000000001	s_27
sub_16	female	955.956	s_22
sub_16	female	960.908	s_12_disf
sub_16	female	967.052	s_08
sub_16	female	971.212	s_29
sub_16	female	975.1080000000001	s_20_disf
sub_16	female	980.124	s_16
sub_16	female	985.076	s_17_disf
sub_16	female	992.0120000000001	s_23_disf
sub_16	female	996.636	s_11_disf
sub_16	female	1001.532	s_15_disf
sub_16	female	1006.732	s_14_disf
sub_16	female	1012.22	s_07_disf
sub_16	female	1019.412	s_02
sub_16	female	1024.3000000000002	s_13_disf
sub_16	female	1030.276	s_05_disf
sub_16	female	1035.0680000000002	s_31
sub_16	female	1042.13593824428	s_09
sub_16	female	1047.156	s_06_disf
sub_16	female	1053.18	s_21_disf
sub_16	female	1057.308	s_24_disf
sub_16	female	1061.244	s_03
sub_16	female	1064.532	s_28
sub_16	female	1069.612	s_19_disf
sub_16	female	1074.8507156497672	s_26
sub_16	female	1078.596	s_07
sub_16	female	1082.876	s_15
sub_16	female	1086.692	s_31
sub_16	female	1090.892	s_17
sub_16	female	1095.516	s_06
sub_16	female	1100.188	s_02
sub_16	female	1104.068	s_05_disf
sub_16	female	1109.124	s_29
sub_16	female	1112.82	s_13
sub_16	female	1116.276	s_16
sub_16	female	1120.092	s_24
sub_16	female	1123.156	s_14
sub_16	female	1126.004	s_10
sub_16	female	1131.476	s_04_disf
sub_16	female	1136.124	s_01
sub_16	female	1139.556	s_11_disf
sub_16	female	1144.388	s_12
sub_16	female	1149.26	s_25
sub_16	female	1156.852	s_18
sub_16	female	1161.596	s_32
sub_16	female	1164.612	s_30
sub_16	female	1168.092	s_19
sub_16	female	1171.452	s_22
sub_16	female	1175.988	s_03
sub_16	female	1178.932	s_20
sub_16	female	1182.348	s_09
sub_16	female	1186.372	s_27_disf
sub_16	female	1190.22	s_28
sub_16	female	1194.132	s_08
sub_16	female	1197.444	s_23
sub_16	female	1200.876	s_21
sub_16	female	1223.577974202573	e_27
sub_16	female	1230.372	e_28_disf
sub_16	female	1236.404	e_03_disf
sub_16	female	1242.636	e_14
sub_16	female	1246.7	e_17
sub_16	female	1251.116	e_31
sub_16	female	1256.788	e_20
sub_16	female	1261.676	e_16
sub_16	female	1270.26	e_26
sub_16	female	1276.14	e_30
sub_16	female	1281.428	e_12
sub_16	female	1285.804	e_01
sub_16	female	1290.444	e_22_disf
sub_16	female	1295.388	e_11
sub_16	female	1300.028	e_32
sub_16	female	1306.4355971787566	e_24
sub_16	female	1311.14	e_25
sub_16	female	1315.004	e_19
sub_16	female	1319.404	e_10_disf
sub_16	female	1324.7160000000001	e_07
sub_16	female	1330.14	e_29
sub_16	female	1335.156	e_23
sub_16	female	1340.188	e_08
sub_16	female	1344.636	e_18
sub_16	female	1349.444	e_13
sub_16	female	1354.6200000000001	e_05
sub_16	female	1359.5240000000001	e_06
sub_16	female	1363.868	e_04
sub_16	female	1368.028	e_21
sub_16	female	1372.548	e_15
sub_16	female	1376.548	e_09_disf
sub_16	female	1381.388	e_02
sub_16	female	1386.476	e_08
sub_16	female	1391.14	e_02
sub_16	female	1396.3	e_06
sub_16	female	1400.156	e_31
sub_16	female	1405.6680000000001	e_07_disf
sub_16	female	1410.332	e_04
sub_16	female	1415.372	e_29
sub_16	female	1420.02	e_20
sub_16	female	1424.772	e_32_disf
sub_16	female	1430.14	e_15
sub_16	female	1435.46	e_13
sub_16	female	1439.996	e_24
sub_16	female	1444.388	e_16
sub_16	female	1449.78	e_21
sub_16	female	1454.3	e_05
sub_16	female	1459.244	e_03
sub_16	female	1464.948	e_09_disf
sub_16	female	1470.156	e_01
sub_16	female	1474.5240000000001	e_26_disf
sub_16	female	1480.356	e_10
sub_16	female	1484.38	e_18
sub_16	female	1489.172	e_11
sub_16	female	1493.34	e_25_disf
sub_16	female	1498.5720000000001	e_28_disf
sub_16	female	1503.372	e_19
sub_16	female	1507.724	e_23
sub_16	female	1512.596	e_14
sub_16	female	1516.972	e_12
sub_16	female	1521.956	e_27
sub_16	female	1527.508	e_30
sub_16	female	1533.6158264785536	e_22
sub_16	female	1540.052	e_17
