word	f1	f2	f3
l_leeches	323.12119817574825	1844.705433665822	2967.6697603880048
l_libro	836.6131860124192	2190.2454605036983	3295.041872239097
l_latas	446.7684965267056	1310.43405714255	3158.3983028905577
l_lima	372.5093530253789	1773.0758276876666	3181.197749776067
l_meal	585.3472261275642	1346.3110555589894	3330.308027344625
l_carril	363.5567798006309	1799.8670559502243	3103.841706978136
l_doll	427.18120032747134	1356.5655352877795	3178.4654531071506
l_locket	433.0534334802555	1192.65455108888	2980.3290774882253
l_leases	367.8404048564733	1883.5821393685158	3130.4114486752987
l_locker	434.85850028046787	1209.1956960199846	3157.3442867618005
l_lapiz	440.05003588000704	1633.856916915923	3174.59482761466
l_wheel	565.159651156753	1241.4600544076482	2779.536095223743
l_marfil	439.9983768655697	1685.298721271148	3089.1409576138217
l_pangal	565.5554053255008	1415.1676408146013	2666.0962439163727
l_ball	707.9589905585153	1193.2754465128912	3001.5652440889107
l_panal	527.3128970871021	1534.7444072574701	3060.0424110900476
l_latas	439.32658143177827	1280.1485812827214	2939.2050943084196
l_carril	387.71749430916105	1695.1839573175391	3036.6995622810277
l_panal	561.1671305226502	1582.1847071741597	2964.8465449701303
l_leeches	365.74648003191453	1989.964664022997	3080.1549711046823
l_marfil	465.01200099901723	1696.1476558780107	2966.82745761805
l_locket	465.6105985635708	1204.0593196547034	2940.7854180740424
l_ball	652.1725146070829	1100.9294555291997	3035.2004219973155
l_leases	375.4652377600282	1736.1825916912405	3092.9176590797797
l_doll	463.77319084364126	1301.4470435824003	3156.176528575283
l_lapiz	501.0252681564568	1629.396136017047	2920.2533190285685
l_wheel	526.7506204013566	1472.0286306684245	2770.687295250061
l_pangal	557.1416182843541	1466.7361232442588	2876.2974471692924
l_meal	564.9774782688175	1458.337474045495	3226.6077750011304
l_libro	358.3373999746999	1927.6535108950025	3013.777995894214
l_lima	429.2627223836189	1741.191692736649	3081.502686881491
l_locker	426.7933640632396	1229.3130738720956	2945.064908421653
l_panal	521.0781758406508	1467.0394379609957	3066.5355567224215
l_leases	420.134583637444	1734.7600956272202	3031.618167388238
l_lapiz	424.0423789600348	1596.9250443477554	3122.3467067509896
l_pangal	493.77368259546057	1586.7330397574326	3046.02377872258
l_latas	413.2126172309703	1299.2132758574085	3226.180442286838
l_locket	462.1495468734928	1335.525956610987	3223.2470248391123
l_meal	756.8087612563722	1220.338350709631	3046.48369694684
l_ball	687.5377583326684	1452.3747385812821	3055.5267474892703
l_carril	403.3077338175542	1268.2589197770512	3049.3307582606585
l_leeches	384.1766234886619	1484.3241656737334	3280.3216222871756
l_libro	353.8776518831288	1568.1115314528995	2913.129782967524
l_lima	415.96947119396725	1773.3438912358606	3198.4859676888022
l_doll	616.9229937908265	1003.324646968283	2988.9692409828904
l_marfil	427.70038510913565	1651.760783229268	3080.040265226783
l_wheel	580.4149271342802	1533.550169395641	2976.297514615491
l_locker	457.98077054661803	1617.7196326732374	2846.6784742141663
l_ball	490.4258003935317	1546.9690147148706	2905.4002531918986
l_panal	519.1086879588967	1511.4346055015383	2762.868094291858
l_libro	414.1949325025346	1548.9890859439267	3012.860305317985
l_leeches	412.1827103049959	1302.590562711479	3235.9228137223245
l_pangal	459.6542974479236	1555.9125255363736	3074.4974130778132
l_lima	417.79158498454086	1665.3707419778357	3183.500465445991
l_lapiz	471.081251631151	1569.7490729804692	3079.4211059189915
l_locker	418.74919374534824	1687.7672203267034	2631.91816329396
l_locket	446.190020703369	1224.7848466221008	3132.025853689878
l_meal	723.487746799939	1876.2545631258636	3007.6638702338473
l_marfil	431.7436969829334	1554.857926310154	3104.97150001216
l_doll	685.7676474716891	1160.3405191133456	2775.383541104499
l_wheel	577.7681968973059	1737.6279772816322	2788.370736607469
l_latas	440.69878689642826	1351.7850854074616	3096.3787914479567
l_carril	388.4858565437352	1341.0145610240932	2551.4963501642364
l_leases	466.8739256335765	1333.5645415461338	3093.6138990432964
l_wheel	557.0465934014703	1256.2555871849354	3180.346107207277
l_meal	646.2770902271254	1205.7232509366495	3219.4935889107664
l_doll	713.4949357051006	1172.951121112731	3138.788098133845
l_doll	698.8793886522997	1363.5617661024703	3204.310539403203
l_meal	631.460423477126	1376.9741283783708	2993.2531878853256
l_leases	406.78300849017205	1459.5336338720758	3008.7835257242336
l_leeches	443.1913864332424	1280.418295972725	3186.827090217877
l_ball	555.027965147357	896.2509773781773	3069.8376364447818
l_locket	404.1626413987193	1044.0268434105508	2875.1858079049357
l_locker	502.1692950992436	1157.2009201536596	2945.1152417472326
l_locket	509.5191253469682	1105.2037847949687	3192.2661327929945
l_ball	770.1838543626892	1018.193637738747	3185.640008744666
l_locker	473.342389450309	1132.523239110226	2972.4835496220517
l_leeches	329.32889749984395	1523.3546731239699	2739.3865501147843
l_leases	437.4674461202583	1178.6414998214213	3214.51832064521
l_wheel	535.6284969873775	1681.8431535166567	2727.0969014972407
l_locker	492.2852486478879	1162.601421620552	3007.620794636871
l_locker	487.030583156532	1020.8396680489354	3007.136404247789
l_leases	409.5897885114923	1208.2062421608716	3134.589579102956
l_locket	399.2443083690913	1065.1210069882156	2878.5384854430094
l_ball	801.8745683315832	1067.4517694883107	3551.591419044696
l_wheel	522.3393362517817	1655.6993590183927	2958.4970159819336
l_doll	666.4492246843793	1364.9837633844043	3175.9414845046795
l_locket	447.3736355520353	1202.6055719085327	3164.01001002192
l_leeches	371.25498922357065	1174.7663841013994	3705.394777303885
l_ball	608.9349083904546	973.8575441762439	3158.0248858327477
l_leeches	1088.8150984289255	2674.0238974775984	3316.896333002597
l_meal	602.6791431465307	1303.872726346353	2966.9619448259045
l_meal	559.3446508449559	1457.789181998773	2910.571204455414
l_leases	401.72461219289653	1266.9402877045236	3387.911813421286
l_wheel	492.88366251683664	1370.4257527736236	3046.290411214734
l_doll	701.1757148242846	1187.14507120997	3068.5963206157962
l_pangal	509.47357189175557	1762.5839814160333	3312.194587040711
l_libro	405.92787555646385	2174.9303447514035	3012.27052091273
l_panal	524.7268386330845	1465.8266452334046	3055.365224125769
l_pangal	579.0460279131174	1650.819309216374	3130.6713631288444
l_lima	400.2087105708665	1852.3837147221825	3260.767075286846
l_marfil	431.13995522807403	2018.6591992127214	2921.7823277422963
l_panal	628.635280595215	1633.9068429376248	3215.871334941331
l_lapiz	447.4169252458821	1574.6645389758064	3147.76160769692
l_libro	352.0801841347995	1935.741464116874	3160.7808695607596
l_latas	518.6073935152712	1503.096001272294	3165.4241971764536
l_lapiz	471.1926543979862	1595.9796246050396	3133.537039815609
l_carril	528.9708463549906	1608.5317437244655	2927.629371142024
l_lima	461.3509434518466	1994.2057664925098	2885.128234495625
l_carril	370.692828474392	1864.4862691145454	3033.130268464511
l_latas	497.56852149871514	1353.6662821319765	2873.5272656731063
l_marfil	473.8595557873919	1911.6085555721595	2765.666745475166
l_lima	413.7847314583513	1773.3297622236491	2913.2244225031113
l_latas	518.8931318089362	1431.086121182937	3156.4247606013246
l_panal	614.9151073877807	1656.014777293643	3189.700292819634
l_carril	382.5429858315181	1679.7000776798498	3044.1963268979384
l_pangal	577.5647223788791	1625.2258814111738	3131.8687885104855
l_lapiz	466.3756787316943	1582.4675849173937	3188.3716760497264
l_libro	386.23350720079696	2042.9277090617509	3017.362946449959
