speaker	gender	time_stamp	sentence
sub_37	female	42.387748443446895	cses_07
sub_37	female	42.387748443446895	cses_07
sub_37	female	47.69199999999999	cses_26_disf
sub_37	female	47.69199999999999	cses_26_disf
sub_37	female	52.459999999999994	cses_02
sub_37	female	52.459999999999994	cses_02
sub_37	female	56.971999999999994	cses_27
sub_37	female	56.971999999999994	cses_27
sub_37	female	62.47599999999999	cses_25_disf
sub_37	female	62.47599999999999	cses_25_disf
sub_37	female	67.676	cses_17
sub_37	female	67.676	cses_17
sub_37	female	72.668	cses_13_disf
sub_37	female	72.668	cses_13_disf
sub_37	female	78.516	cses_15_disf
sub_37	female	78.516	cses_15_disf
sub_37	female	83.70000000000002	cses_11
sub_37	female	83.70000000000002	cses_11
sub_37	female	89.04400000000001	cses_10_disf
sub_37	female	89.04400000000001	cses_10_disf
sub_37	female	94.22000000000001	cses_05
sub_37	female	94.22000000000001	cses_05
sub_37	female	99.68400000000001	cses_06
sub_37	female	99.68400000000001	cses_06
sub_37	female	104.77200000000002	cses_20
sub_37	female	104.77200000000002	cses_20
sub_37	female	110.86800000000002	cses_03
sub_37	female	110.86800000000002	cses_03
sub_37	female	115.53200000000001	cses_09_disf
sub_37	female	115.53200000000001	cses_09_disf
sub_37	female	120.84400000000002	cses_23
sub_37	female	120.84400000000002	cses_23
sub_37	female	125.09200000000001	cses_14
sub_37	female	125.09200000000001	cses_14
sub_37	female	129.26800000000003	cses_32
sub_37	female	129.26800000000003	cses_32
sub_37	female	133.716	cses_19_disf
sub_37	female	133.716	cses_19_disf
sub_37	female	139.092	cses_31_disf
sub_37	female	139.092	cses_31_disf
sub_37	female	144.71599999999998	cses_30
sub_37	female	144.71599999999998	cses_30
sub_37	female	149.236	cses_28
sub_37	female	149.236	cses_28
sub_37	female	153.492	cses_21_disf
sub_37	female	153.492	cses_21_disf
sub_37	female	159.01999999999998	cses_22
sub_37	female	159.01999999999998	cses_22
sub_37	female	162.908	cses_08_disf
sub_37	female	162.908	cses_08_disf
sub_37	female	167.748	cses_01
sub_37	female	167.748	cses_01
sub_37	female	172.492	cses_18
sub_37	female	172.492	cses_18
sub_37	female	177.04399999999998	cses_16
sub_37	female	177.04399999999998	cses_16
sub_37	female	181.48399999999998	cses_04
sub_37	female	181.48399999999998	cses_04
sub_37	female	186.26	cses_12
sub_37	female	186.26	cses_12
sub_37	female	191.188	cses_29
sub_37	female	191.188	cses_29
