word	f1	f2	f3
l_locket_MISSING	1424.3986370873333	2450.9371246859805	3973.184351391024
l_lapiz_MISSING	1083.2224063333938	2127.629803586131	3081.9228313610633
l_ball_MISSING	1299.8021476163733	2369.6920115068824	3321.7239618218487
l_pangal_MISSING	1450.4076446432862	2447.8434110511475	3559.340721624489
l_marfil_MISSING	803.5545711174369	2083.70241129071	2797.156859585573
l_panal_MISSING	1436.7969483941667	2234.358598403147	3633.631427601703
l_wheel_MISSING	1544.1433483182618	2255.8332365725996	3344.242025570018
l_libro_MISSING	1545.4920114037895	2418.1672043781846	3573.524372254626
l_leases_MISSING	1501.0175359790182	2596.970757284687	3613.654143355654
l_latas_MISSING	1139.166811373591	2379.776707077228	3592.504926962773
l_locker_MISSING	1680.9380360676728	2508.919870567377	3377.4290626408356
l_leeches_MISSING	973.3575891046028	1810.2650085797886	2876.5775665916362
l_carril_MISSING	1595.1896115063403	2587.12655861063	3783.5255000022244
l_lima_MISSING	1493.5103855003952	2483.4987624560576	3602.9578328086786
l_meal_MISSING	1457.8752286172175	2555.813195157826	3434.9418455739224
l_doll_MISSING	1359.1483960091637	2402.1855771280757	3614.3460498974077
l_leases_MISSING	1491.3492087232341	2463.4250580362204	3805.1536845704068
l_doll_MISSING	1640.8512353983062	2306.5340701511573	3413.6402983737908
l_pangal_MISSING	1302.9913479212355	2468.3674437454088	3643.327886603229
l_panal_MISSING	1568.5538987889056	2713.5077391337472	3682.793696491996
l_locker_MISSING	1656.5371823451678	2696.2603951594224	3700.7491076825386
l_leeches_MISSING	1404.3736056276707	2678.165804333719	3245.7609099610504
l_lima_MISSING	1501.1556506836712	2622.6512317684937	3471.836484669259
l_marfil_MISSING	1354.3521509527243	2559.7589856102854	3603.350104258517
l_ball_MISSING	1129.2186856837463	2070.3448009497165	2921.6370753458013
l_wheel_MISSING	1407.7624878522092	2555.2222546081903	3506.869392902322
l_carril_MISSING	1065.6847624124218	2108.3762876792516	3253.3914335958066
l_locket_MISSING	1587.5809688236554	2659.1068456500175	3396.3343603801636
l_latas_MISSING	1487.6191772028897	3009.172220662337	3422.5308332629797
l_lapiz_MISSING	1515.5200601876293	2369.038578391606	3422.077936904032
l_libro_MISSING	1515.085242170829	2620.8514728069263	3649.995226909474
l_meal_MISSING	1240.4259383075714	2517.2037661752356	3550.9259319435555
l_pangal	354.84999801243885	1647.2046174919708	3156.572927689322
