speaker	gender	time_stamp	sentence
sub_26	male	1418.212	csse_09_disf
sub_26	male	1424.188	csse_07
sub_26	male	1428.892	csse_26
sub_26	male	1433.02	csse_11
sub_26	male	1441.124	cses_03
sub_26	male	1444.836	cses_16
sub_26	male	1448.316	cses_21
sub_26	male	1451.46	cses_25
sub_26	male	1454.9080000000001	cses_30
sub_26	male	1458.684	cses_11
sub_26	male	1462.604	cses_20
sub_26	male	1466.78	cses_13
sub_26	male	1470.5309371562823	cses_22_disf
sub_26	male	1475.324	cses_29_disf
sub_26	male	1481.34	cses_15_disf
sub_26	male	1486.532	cses_08_disf
sub_26	male	1491.052	cses_17
sub_26	male	1494.604	cses_06
sub_26	male	1498.564	cses_12_disf
sub_26	male	1503.236	cses_04
sub_26	male	1507.332	cses_07
sub_26	male	1510.892	cses_19
sub_26	male	1514.532	cses_18
sub_26	male	1518.124	cses_10
sub_26	male	1521.18	cses_02
sub_26	male	1525.42	cses_01
sub_26	male	1529.084	cses_23
sub_26	male	1534.156	cses_09
sub_26	male	1537.964	cses_27
sub_26	male	1541.732	cses_26_disf
sub_26	male	1546.412	cses_05
sub_26	male	1549.948	cses_24
sub_26	male	1552.924	cses_14
sub_26	male	1556.236	cses_28
sub_26	male	1561.492	cses_31
sub_26	male	1565.18	cses_32
sub_26	male	1568.94	cses_22
sub_26	male	1572.244	cses_12
sub_26	male	1575.5	cses_21
sub_26	male	1578.444	cses_29
sub_26	male	1581.836	cses_01
sub_26	male	1585.444	cses_26
sub_26	male	1589.02	cses_07
sub_26	male	1592.068	cses_27_disf
sub_26	male	1595.796	cses_10
sub_26	male	1598.7	cses_15
sub_26	male	1602.444	cses_06_disf
sub_26	male	1608.284	cses_24
sub_26	male	1611.308	cses_03
sub_26	male	1614.604	cses_05
sub_26	male	1617.82	cses_32
sub_26	male	1621.268	cses_19
sub_26	male	1625.036	cses_20
sub_26	male	1628.684	cses_13
sub_26	male	1631.628	cses_09
sub_26	male	1634.8600000000001	cses_14
sub_26	male	1638.108	cses_16
sub_26	male	1641.012	cses_17
sub_26	male	1643.892	cses_23
sub_26	male	1646.964	cses_28
sub_26	male	1649.9560000000001	cses_25
sub_26	male	1652.972	cses_31_disf
sub_26	male	1657.332	cses_11
sub_26	male	1660.94	cses_04
sub_26	male	1664.492	cses_02
sub_26	male	1667.884	cses_18
sub_26	male	1670.98	cses_08
sub_26	male	1673.588	cses_30
