word	f1	f2	f3
l_panal	375.5442683687496	1691.3442389725792	3399.1380619647457
l_libro	404.2472488604676	2130.5204393365975	3094.0277687647726
l_ball	538.805988817115	1118.9225285092655	3134.494657511767
l_leeches	351.5836996389184	1532.7360109440374	3337.402273543161
l_wheel	548.1652861828161	1323.4540587353217	2859.433684555309
l_meal	553.6232391059323	1396.41121947971	3054.0703387106055
l_locker	471.7105156138914	1078.3622784366926	3220.2843595755767
l_leases	403.73376241787537	1344.496653348972	2791.55028883844
l_pangal	443.68723803331295	1736.7302763900193	2471.5538701763576
l_doll	582.5706840443293	1159.2237870271697	3147.7546878162493
l_lapiz	405.09071169664264	1976.926159281881	3137.018551685764
l_lima	409.63307196282165	2325.619271789439	3084.3197420311462
l_latas	424.57850859921143	1638.3130629754105	3194.02363898226
l_marfil	395.97048602862117	1877.2051784688042	3054.0125818186934
l_carril	368.55829811577445	1875.438199141664	3219.0005635787206
l_locket	484.1245190876031	1093.479389418221	3373.173232992484
l_lima	411.1075276874206	2070.178356491358	3042.342582804255
l_libro	390.7603344308525	2393.8296947869417	3114.8552744080976
l_carril	338.84813860933036	2210.69622088902	3052.750798519497
l_wheel	526.4949965917604	1327.6053969611908	2873.218099032568
l_doll	566.2889506067204	1302.428065629037	3052.454346035055
l_ball	496.1330818034728	1026.1073877631673	3000.7146921784465
l_latas	458.16916726653	1717.3403717372155	3205.987049688298
l_leeches	353.7077174591355	1451.5725467772052	3067.4647412348045
l_locket	425.3504153287448	1247.3941133441808	3065.886644658057
l_panal	533.1790597860572	1835.9755247857258	3524.6079901503294
l_lapiz	427.09615239397846	1839.8841157151662	3005.833374009663
l_marfil	374.4704289159514	2230.181877272	3011.7798085195454
l_meal	439.05154501959845	1459.7274179849667	3004.9000346673856
l_leases	365.9038826821068	1691.8965283902603	2830.465151656393
l_locker	356.89828870532745	1240.1283338293772	2929.825393171025
l_pangal	342.7749592489573	1659.5803485195008	2908.0557062409957
l_panal	374.1308694673081	1716.1693052474582	2896.412920397857
l_lima	344.90787888276964	2624.2176098202494	3072.3419596309254
l_latas	403.1964894447996	1635.655424722731	3012.095132591471
l_locket	695.0964254478938	1119.2496722421558	3010.5402670073017
l_leases	427.44587563517365	1318.3164795992718	3083.0003283742135
l_marfil	322.00081485270573	2338.289800584317	3008.7645317071315
l_lapiz	386.99794327338634	1843.7097723243614	2967.5972122714784
l_leeches	417.7795770163145	1257.7869594003012	3006.3499031250303
l_doll	661.7302168386232	1098.889718621587	2894.508828528213
l_ball	623.1830349881046	1369.642624084565	3081.198477651689
l_pangal	481.03421469683497	1732.1246645426809	2830.5551843521334
l_locker	464.25751821587943	1343.5106484579862	3065.271815990842
l_wheel	463.3637839545722	1285.5608149813777	3256.963162272517
l_libro	374.5097212983819	1627.0214929484107	2870.542279282061
l_meal	690.970351178451	1422.5010831273532	3174.723823613584
l_carril	373.9751662468875	1904.0177506233613	2799.504955832121
l_wheel	534.6387424550718	1469.6648255148673	3129.140972101139
l_ball	600.5908238830627	1185.796600782821	3039.9777016117073
l_locket	466.9997519867857	1223.836979849201	3228.351198976166
l_doll	639.4914764473141	1065.6622689314236	3092.3856538579225
l_panal	400.856476979771	1646.3262656595114	2977.2800124943583
l_leases	393.47541233437624	1371.3026653254408	3206.0354147761877
l_leeches	383.25878659476433	1431.6798871781755	3063.849023761472
l_lima	402.0628374650523	2047.0443792915041	3058.7485890803946
l_carril	388.63348619851115	2464.677545784176	2929.423937391711
l_pangal	1552.1938130463113	2434.1149592963225	3145.0662453707214
l_lapiz	402.5581096566791	1810.4889977009984	2964.215752079546
l_marfil	374.84999599409116	2437.8598047842943	3031.060075018688
l_locker	497.63749341193403	1388.604361242662	3111.427011614575
l_libro	335.5855682585824	2127.471075603423	3033.11805380979
l_latas	385.63938996190154	1597.7736706197857	3012.462349772958
l_meal	538.2732621616218	1355.3209009393	3199.282398840912
l_locker	547.4852984643953	1248.568276847059	3215.879913012444
l_locker	420.42170798555475	1067.273633919179	3174.2468287535503
l_doll_MISSING	470.67716802813015	1345.2051368963134	2721.50512870899
l_wheel	450.91784347501095	1236.0778066182575	3002.6066208745146
l_meal	411.9016220290596	1348.337311553444	3145.4423158584955
l_leases	361.73752039116613	1091.2835321778507	3055.574494642557
l_leeches	469.389549221163	1277.2576993739983	3606.972694391974
l_leeches	387.2207290343978	1349.6380701489259	3023.2131039606124
l_ball	582.4461013846422	1047.0935862655695	3045.84122263265
l_wheel	481.72343417880836	1331.021646419623	3217.336225918726
l_leases	679.0175804106931	1537.0885070143165	3477.4671396931426
l_ball	591.597823825635	1060.8338071538817	3243.6025647991178
l_locket	450.5168483862264	1341.19899704926	2563.1937051588898
l_locket	589.9694493024521	1223.6035375325905	3271.1867495180513
l_meal	782.4022518245625	1392.7606672524562	3229.032253249962
l_doll	586.6824194288122	1119.052519553175	2990.8260102349564
l_doll	525.9395589594358	1110.2461562047934	2827.7087827090513
l_locker	558.4366589097667	1280.8350424337686	3182.7410134445113
l_doll	644.2467081993547	1121.2207400027528	3194.7669085325615
l_leeches	412.0672298579607	1352.3396712354358	3036.1987198244306
l_meal	400.8749871102786	1436.9668649113971	3117.8725853628666
l_locker	447.56084298672215	1029.6479887423238	3237.278500871986
l_wheel	499.6638085230805	1237.4718650304412	3346.3612181797457
l_leases	373.39464441659504	1165.2002198703829	3049.224348633652
l_leeches	376.5677539397088	1277.605764107377	3100.391801057446
l_ball	511.11866284908257	976.6346134314758	3231.9666189302234
l_locket	415.0667975580198	1028.7436476260234	3337.154704766627
l_ball	583.7874745028613	1025.985708585316	2905.9777311871244
l_leases	401.2895017774706	1223.1201887525579	3143.149367923627
l_wheel	459.0310098251677	1334.5176362922573	3108.135915510842
l_locket	461.8943944571397	1122.1574698940371	3250.470577011631
l_meal	644.3784740390455	1366.2546284221996	3453.5051925180683
l_latas	427.81436313302123	1709.8742963222376	3199.471428337005
l_carril	353.2050101225968	2559.4291612621537	2978.719137719057
l_panal	451.88856559374517	1669.090987806065	3099.853099757371
l_lima	435.7550224531279	2068.200496512114	2917.255646578725
l_marfil	263.7984462716852	2400.530576739443	2916.3911852968736
l_panal	353.4751497721657	1581.1468112910811	2878.56908371575
l_lapiz	397.8529502417773	1614.7611459737818	3123.260743824449
l_marfil	403.2245003366416	2117.691110558711	3055.0448661483924
l_pangal	510.444369952515	1797.8799502713741	3105.537390196161
l_pangal	363.8060528355033	1786.4243394476352	2877.7647299742475
l_lima	369.9809549765126	2052.217166457125	2852.358225840926
l_lapiz	418.79725460190724	1891.6525302913649	3025.496952603387
l_carril	357.5003427605727	2871.9222618724257	3454.551522904994
l_latas	403.034908341286	1757.8079553275334	2891.391468923843
l_libro	435.1616946470445	2578.4530451149953	3252.038761126796
l_libro	390.0274136133108	2703.53198932477	2998.0893180196053
l_panal	429.5710295947637	1559.0778054172674	2749.9895424069296
l_marfil	333.84440337395	2333.5625847713277	3207.15642460422
l_latas	438.0151975188365	1602.7513115081063	2916.343758295903
l_libro	379.5184967273437	2279.5389923993653	3071.780365614752
l_lima	357.96953661620654	2137.3931405649637	2961.806288082284
l_pangal	471.0241650074738	1851.0576904412421	3013.1983536475
l_pangal	417.59773894723094	1767.4702385316766	2845.1071223288154
l_carril	345.96643788584504	2069.7252133532047	3037.051588660856
l_latas	436.49994465044364	1680.3620397941727	3109.1459260582974
l_marfil	309.8336268434035	2358.6415455741417	2980.0199032195433
l_lima	450.75257294802145	1819.2962296493306	2888.5376236943534
l_libro	361.54151966639535	2729.335339871313	3038.2349834278807
l_panal	524.9425697508466	1733.0084993741866	3108.149600387973
l_carril	408.6998214792605	2898.216857089222	2997.4388742725164
l_lapiz	414.0630807785046	1891.9727759380073	3145.245565277342
l_lapiz	402.806128662412	1852.969096395024	2996.3887510285153
