word	f1	f2	f3
l_meal	596.2532300603737	1522.4003165125978	3432.0426068438296
l_lapiz	395.05030135149093	1645.5742388957706	3186.7286924016325
l_marfil	411.75925419696694	2216.9283861767385	2722.0375015657505
l_libro	361.8187525281698	1969.991784771771	3021.007405570909
l_wheel	541.772359508927	1308.2045127861481	3384.984552832525
l_carril	325.14935306101086	2052.2074041793703	3073.8953347426377
l_panal	410.00803245780764	1758.4131173883509	3152.475781828791
l_leeches	415.84092050336835	1497.9043670725725	3242.402770607925
l_locket	436.83091452391244	1330.4317607872674	3396.374964463706
l_locker	478.0958646277301	1576.1823701519384	3220.2303884624944
l_doll	638.8653040746535	1200.9529307680787	3134.4392389592113
l_pangal	366.34238507677316	1783.6723605313753	3148.1358893300808
l_leases	351.2571882901926	1432.640935171182	3192.8387099909414
l_latas	420.5596854276479	1286.733513167499	3147.993439273151
l_lima	382.4131679249375	1869.1598098529064	3189.0813153582876
l_ball	584.678273234952	1674.4261748315826	3298.4288604325
l_leeches	422.07033282091453	1361.4911486347953	3393.839713569197
l_doll	647.0234621319858	1156.4881901837302	3238.0023123252868
l_wheel	506.81185404460564	1325.159087552799	3291.9204620361866
l_latas	1544.2274364714046	3136.6077314603203	3763.7185162231613
l_pangal	425.7995117495816	1401.6723849265811	3145.7868423507593
l_lapiz	431.31659910525707	1627.0300632329674	3209.91561067831
l_carril	360.9617061352548	1891.6100951275832	3072.74022691575
l_locket	406.1438690044902	1358.2442044975417	3458.3254555081544
l_locker	482.5052278489807	1473.130311488242	3437.664518160467
l_marfil	369.8441455632475	1818.5000656172542	3003.257654746422
l_meal	455.6400063260011	1497.7258930327625	3125.299913837647
l_lima	403.856481662541	1944.5785374328957	3179.9854233526207
l_libro	367.2887684729506	2541.767008599899	3088.653061693766
l_leases	422.29654312107255	1594.6831090116673	2956.5694280090897
l_panal	324.6070452574466	2082.860278375285	3095.127497365057
l_ball	698.1950010562066	1634.2109837301791	3272.4079803307186
l_lima	426.371870765898	2061.380451301781	3409.5623211387174
l_wheel	482.87637462157755	1206.8957098241008	3329.051892593366
l_lapiz	408.12291166054166	1660.6341428802068	3112.1934034062892
l_leases	342.1917914342637	2066.233900153044	3160.7933303711625
l_locket	400.7270342989094	1292.0135202035706	3455.2662137356847
l_marfil	487.2040623291324	1740.0891540535613	3088.8742245096287
l_meal	854.8689842426955	2269.1686826539767	3450.6067880985042
l_leeches	280.6473531976033	2033.4966835147152	2919.838212272723
l_libro	371.6148217031984	2379.64666601909	3556.858561979807
l_panal	464.0601994723292	1703.8685344987923	3436.7689148545014
l_ball	594.4274806845128	1538.2614671747715	3412.6231069666187
l_pangal	567.6442017683313	1690.6106067991889	3241.7276140455256
l_carril	401.42937573748367	2490.2615490756093	3208.2778158532215
l_doll	440.89726827815247	1696.7020655972474	3363.9834054287458
l_latas	442.91934037864405	1561.3165747520106	3245.7410282964156
l_locker	500.0464215000422	1195.4154967741983	3349.4478240117064
l_meal	517.3743145494617	1802.147284519718	3163.603028700823
l_libro	394.27968719508954	2025.8109243069405	3232.922060445151
l_wheel	580.6840257570282	1545.8951700262585	3233.2678219014024
l_locket	472.11711416099826	1341.1273837366143	3318.5976761539896
l_panal	532.3749713552197	1747.7561997761472	3558.382600311109
l_locker	492.40760004643926	1299.7653915725805	3318.9465041487674
l_leases	364.04137723226614	1599.1592664683687	3328.5821210949866
l_leeches	348.6672580286847	1426.197615663412	3172.0936831981694
l_carril	327.193486451588	1921.4446430493326	3089.752288170463
l_marfil	415.8582202422002	1843.2640826488457	3154.245622836495
l_pangal	472.15208633167686	1688.9701015346088	3265.561753983635
l_doll	551.4385657219703	1438.6793212055782	3093.6249235836267
l_latas	501.25654341525706	1531.7681537678782	3170.18746915338
l_ball	480.75985970837104	1247.12329517092	3259.8181133496582
l_lapiz	483.46223385521165	1853.6878267797756	3179.5215413155624
l_lima	462.22483842859884	1985.6664308458642	3255.9958198348154
l_marfil	363.3093685811452	2220.3074189550384	3133.703120951124
l_libro	378.7868658236118	1728.343143899241	2971.3886127240185
l_panal	587.5101366473459	1656.1547080296498	3344.895037286871
l_marfil	429.81526120923587	2056.756345124376	3095.9091963976166
l_latas	426.4304432920473	1479.4692287998296	3286.310060809845
l_lima	399.51730606426344	2105.7163979152215	3200.309905362805
l_pangal	438.52118471267386	1717.1990119725983	3146.642639184553
l_latas	475.8502936447286	1738.8040004615575	3285.9373581544755
l_libro	380.60459373123547	2180.9303383613496	3250.6681792168642
l_carril	392.0977783603223	1648.5346712514524	3178.914150478692
l_pangal	469.2162689597575	1743.164636261683	3167.0905772730916
l_lima	407.630410954021	2072.8946622527214	3022.218040298307
l_carril	325.29066610295666	1952.188394202386	3151.1397800311684
l_lapiz	440.3248761996955	1781.366609217348	3328.3367512519008
l_lapiz	392.63801103906945	1639.4093529368924	3259.606271770119
l_panal	550.0123960706417	1653.5586537488239	3380.091288233848
l_panal	474.4695719478223	1625.9530780442922	3155.223965487887
l_latas	467.5677147493054	1472.0293594420623	3220.2468457364466
l_carril	317.3739217048982	1940.8991625583958	3043.141446194346
l_marfil	426.32909972116	1674.268281162508	2989.5433442726307
l_lapiz	426.48825146906705	1597.5324494361541	3131.3364414012735
l_marfil	342.9277310023383	2253.4883647361835	3133.4685668473367
l_latas	460.04676109964583	1893.061077685782	3201.7071170914924
l_lapiz	467.4056129381828	1802.7345743535657	3281.4676758574305
l_pangal	511.4814817000721	1952.755818552352	3070.0722757942863
l_libro	376.0031817784355	2107.715567324281	3179.369635009518
l_panal	547.6825521208913	1803.7379934189134	3425.2359598753246
l_carril	361.67343772041613	1688.6561640917978	3012.330187067009
l_pangal	444.06934842008405	1711.4840245921048	2988.3793995925303
l_libro	465.80587861422885	2619.303051489019	3483.158124155477
l_lima	478.5881025907613	2153.0863293805546	3245.289041332248
l_lima	437.4190316034949	2031.4081809641755	3105.3200658468218
l_doll	778.5211021485885	1335.5489537826081	3328.2584037767533
l_leeches	468.7984687939168	1540.3312155022868	3519.9698483489033
l_doll	540.0012409439207	1297.598120242865	3571.6424180421313
l_leases	448.05351969393905	1569.8474390243553	3280.599175740149
l_leeches	397.22823413684085	1668.7838913164221	3079.06911373103
l_wheel	584.2797738786394	1532.135408185997	3223.6378958241503
l_locker	541.0663127531012	1343.5983911084068	3120.6538528233573
l_ball	706.2623897018307	1225.3638856661223	3271.633963422481
l_locker	472.7881419527726	1208.117084068594	3340.018448055867
l_locket	455.07590872712854	1179.566215549999	3241.4241310749703
l_ball	762.7409736614059	1125.1669868910512	3468.421117971773
l_leases	400.7219376301933	1391.515693942019	3178.016155303808
l_meal	531.3361363672743	1763.8015968458499	3285.172798309586
l_locket	533.9174682849622	1331.2440621591527	3354.0653826544553
l_wheel	499.7216059402447	1294.9828362791707	3263.028237797229
l_meal	611.3371212171015	1656.0435909302555	3441.59865436159
l_wheel	584.4493678798589	1491.282648292208	3196.8698969192046
l_wheel	559.0287121267111	1495.1750320960202	3257.767688766084
l_meal	614.6934656111013	1552.4366279931833	3292.012135746948
l_locker	574.7883825597197	1440.8012679280744	3233.0495800546396
l_doll	750.8322901080213	1313.3420924193263	3386.318039487316
l_leeches	395.8835017844824	1406.7945308678227	3273.2134808967535
l_meal	581.047978460001	1450.9259409345898	3443.5292392220585
l_locket	535.6664806235837	1403.6510779913237	3395.6036104637196
l_locket	540.3191608404604	1201.199002855942	3277.7576149708493
l_ball	597.3365120174334	1003.568029809165	3432.4508332637292
l_leases	486.9782287675975	1526.633973380263	3302.5971005399606
l_ball	746.6860497913185	1310.6835132130473	3356.0441687312136
l_leases	407.063028141827	1310.9760555973503	3228.030766069444
l_doll	785.13367527822	1311.8271271301903	3545.3894946107503
l_leeches	504.4974598860448	1526.3491659737458	3324.0351374148254
l_locker	467.75113116320085	1199.7132832384682	3380.2883247343725
