"speaker"	"gender"	"time_stamp"	"sent_comment"	"sentence"	"phoneme"	"word"	"word_comment"	"duration_ms"	"context"	"word_number"	"language"	"feature"	"l_position"
"1"	"sub_17"	"female"	32.668	NA	"e_23"	"t"	"teacher"	NA	76.9319024676136	"ml"	"two"	"english"	"VOT"	NA
"2"	"sub_17"	"female"	38.228	"disf"	"e_21"	"t"	"toddler"	NA	76.8941201648019	"ml"	"two"	"english"	"VOT"	NA
"3"	"sub_17"	"female"	43.492	"disf"	"e_08"	"t"	"toffee"	NA	85.0222092818953	"ml"	"one"	"english"	"VOT"	NA
"4"	"sub_17"	"female"	51.964	"disf"	"e_10"	"k"	"keyboard"	NA	89.1702212765395	"ml"	"one"	"english"	"VOT"	NA
"5"	"sub_17"	"female"	56.868	NA	"e_12"	"k"	"cockroach"	NA	66.4339835446626	"ml"	"one"	"english"	"VOT"	NA
"6"	"sub_17"	"female"	61.108	NA	"e_09"	"k"	"keepsake"	NA	90.822748703836	"ml"	"one"	"english"	"VOT"	NA
"7"	"sub_17"	"female"	69.564	NA	"e_26"	"p"	"pocket"	NA	48.1791641613114	"ml"	"two"	"english"	"VOT"	NA
"8"	"sub_17"	"female"	73.836	NA	"e_19"	"k"	"keyboard"	NA	104.059847592112	"ml"	"two"	"english"	"VOT"	NA
"9"	"sub_17"	"female"	77.564	NA	"e_27"	"p"	"peacock"	NA	49.2771861382124	"ml"	"two"	"english"	"VOT"	NA
"10"	"sub_17"	"female"	82.532	NA	"e_18"	"k"	"carpet"	NA	62.5313562049428	"ml"	"two"	"english"	"VOT"	NA
"11"	"sub_17"	"female"	86.804	"disf"	"e_22"	"t"	"toffee"	NA	82.4468077582736	"ml"	"two"	"english"	"VOT"	NA
"12"	"sub_17"	"female"	91.844	"disf"	"e_24"	"t"	"teapot"	NA	105.431411620813	"ml"	"two"	"english"	"VOT"	NA
"13"	"sub_17"	"female"	101.116	NA	"e_01"	"p"	"peaches"	NA	46.008319234133	"ml"	"one"	"english"	"VOT"	NA
"14"	"sub_17"	"female"	109.484	NA	"e_20"	"k"	"keepsake"	NA	85.0877923626143	"ml"	"two"	"english"	"VOT"	NA
"15"	"sub_17"	"female"	118.78	NA	"e_25"	"p"	"polish"	NA	74.0965361353432	"ml"	"two"	"english"	"VOT"	NA
"16"	"sub_17"	"female"	122.764	NA	"e_02"	"p"	"peacock"	NA	60.4060285211574	"ml"	"one"	"english"	"VOT"	NA
"17"	"sub_17"	"female"	127.212	NA	"e_17"	"k"	"cockroach"	NA	74.1630651127707	"ml"	"two"	"english"	"VOT"	NA
"18"	"sub_17"	"female"	131.06	NA	"e_05"	"t"	"teacher"	NA	86.0463848978839	"ml"	"one"	"english"	"VOT"	NA
"19"	"sub_17"	"female"	134.956	NA	"e_07"	"t"	"toddler"	NA	48.1129145585726	"ml"	"one"	"english"	"VOT"	NA
"20"	"sub_17"	"female"	143.356	NA	"e_28"	"p"	"peaches"	NA	74.2175807134231	"ml"	"two"	"english"	"VOT"	NA
"21"	"sub_17"	"female"	147.764	NA	"e_03"	"p"	"pocket"	NA	48.2471909978415	"ml"	"one"	"english"	"VOT"	NA
"22"	"sub_17"	"female"	156.556	NA	"e_06"	"t"	"teapot"	NA	83.110778697943	"ml"	"one"	"english"	"VOT"	NA
"23"	"sub_17"	"female"	160.004	"disf"	"e_04"	"p"	"polish"	NA	54.9572617345007	"ml"	"one"	"english"	"VOT"	NA
"24"	"sub_17"	"female"	168.076	"disf"	"e_11"	"k"	"carpet"	NA	69.1680316860186	"ml"	"one"	"english"	"VOT"	NA
"25"	"sub_17"	"female"	172.444	NA	"e_26"	"p"	"pocket"	NA	36.1195229312443	"ml"	"two"	"english"	"VOT"	NA
"26"	"sub_17"	"female"	179.66	NA	"e_08"	"t"	"toffee"	NA	67.2736958533164	"ml"	"one"	"english"	"VOT"	NA
"27"	"sub_17"	"female"	183.54	NA	"e_20"	"k"	"keepsake"	NA	101.579079418855	"ml"	"two"	"english"	"VOT"	NA
"28"	"sub_17"	"female"	192.06	NA	"e_11"	"k"	"carpet"	NA	73.2872629711494	"ml"	"one"	"english"	"VOT"	NA
"29"	"sub_17"	"female"	195.732	"disf"	"e_25"	"p"	"polish"	NA	85.4137273768742	"ml"	"two"	"english"	"VOT"	NA
"30"	"sub_17"	"female"	200.836	NA	"e_03"	"p"	"pocket"	NA	68.7379437161439	"ml"	"one"	"english"	"VOT"	NA
"31"	"sub_17"	"female"	206.348	NA	"e_28"	"p"	"peaches"	NA	63.0087337995064	"ml"	"two"	"english"	"VOT"	NA
"32"	"sub_17"	"female"	210.284	NA	"e_09"	"k"	"keepsake"	NA	115.16808655108	"ml"	"one"	"english"	"VOT"	NA
"33"	"sub_17"	"female"	214.14	NA	"e_27"	"p"	"peacock"	NA	51.2066143434708	"ml"	"two"	"english"	"VOT"	NA
"34"	"sub_17"	"female"	218.756	NA	"e_19"	"k"	"keyboard"	NA	97.6165913974114	"ml"	"two"	"english"	"VOT"	NA
"35"	"sub_17"	"female"	221.916	NA	"e_06"	"t"	"teapot"	NA	88.484051353106	"ml"	"one"	"english"	"VOT"	NA
"36"	"sub_17"	"female"	229.228	NA	"e_17"	"k"	"cockroach"	NA	75.3817308077771	"ml"	"two"	"english"	"VOT"	NA
"37"	"sub_17"	"female"	232.924	NA	"e_05"	"t"	"teacher"	NA	79.4534558336579	"ml"	"one"	"english"	"VOT"	NA
"38"	"sub_17"	"female"	240.86	NA	"e_18"	"k"	"carpet"	NA	69.7439676613669	"ml"	"two"	"english"	"VOT"	NA
"39"	"sub_17"	"female"	244.708	NA	"e_07"	"t"	"toddler"	NA	51.7093938955213	"ml"	"one"	"english"	"VOT"	NA
"40"	"sub_17"	"female"	249.068	NA	"e_04"	"p"	"polish"	NA	54.1996396130457	"ml"	"one"	"english"	"VOT"	NA
"41"	"sub_17"	"female"	252.628	NA	"e_23"	"t"	"teacher"	NA	87.0014019429561	"ml"	"two"	"english"	"VOT"	NA
"42"	"sub_17"	"female"	270.916	NA	"e_10"	"k"	"keyboard"	NA	81.4214794103805	"ml"	"one"	"english"	"VOT"	NA
"43"	"sub_17"	"female"	279.068	"disf"	"e_24"	"t"	"teapot"	NA	87.1871520492959	"ml"	"two"	"english"	"VOT"	NA
"44"	"sub_17"	"female"	282.876	NA	"e_12"	"k"	"cockroach"	NA	53.7224171368393	"ml"	"one"	"english"	"VOT"	NA
"45"	"sub_17"	"female"	286.516	NA	"e_01"	"p"	"peaches"	NA	63.6514897128677	"ml"	"one"	"english"	"VOT"	NA
"46"	"sub_17"	"female"	289.74	NA	"e_21"	"t"	"toddler"	NA	78.7380448674071	"ml"	"two"	"english"	"VOT"	NA
"47"	"sub_17"	"female"	293.956	NA	"e_22"	"t"	"toffee"	NA	62.6737022612929	"ml"	"two"	"english"	"VOT"	NA
"48"	"sub_17"	"female"	298.596	NA	"e_02"	"p"	"peacock"	NA	53.2502332386571	"ml"	"one"	"english"	"VOT"	NA
"49"	"sub_17"	"female"	358.748	"disf"	"s_27"	"p"	"piso"	NA	33.0853369241595	"ml"	"two"	"spanish"	"VOT"	NA
"50"	"sub_17"	"female"	362.252	NA	"s_23"	"t"	"tina"	NA	20.1428846315252	"ml"	"two"	"spanish"	"VOT"	NA
"51"	"sub_17"	"female"	365.484	NA	"s_05"	"t"	"tinta"	NA	15.3294574667484	"ml"	"one"	"spanish"	"VOT"	NA
"52"	"sub_17"	"female"	369.844	"disf"	"s_12"	"k"	"cama"	NA	24.8296705985354	"ml"	"one"	"spanish"	"VOT"	NA
"53"	"sub_17"	"female"	375.62	"disf"	"s_17"	"k"	"cama"	NA	34.4720543352537	"ml"	"two"	"spanish"	"VOT"	NA
"54"	"sub_17"	"female"	384.508	"disf"	"s_28"	"p"	"pinzas"	NA	31.7545878696706	"ml"	"two"	"spanish"	"VOT"	NA
"55"	"sub_17"	"female"	389.052	NA	"s_01"	"p"	"pinzas"	NA	23.6604737914377	"ml"	"one"	"spanish"	"VOT"	NA
"56"	"sub_17"	"female"	392.516	"disf"	"s_20"	"k"	"quicio"	NA	66.5352987630854	"ml"	"two"	"spanish"	"VOT"	NA
"57"	"sub_17"	"female"	397.212	NA	"s_19"	"k"	"quiste"	NA	50.0266369789415	"ml"	"two"	"spanish"	"VOT"	NA
"58"	"sub_17"	"female"	405.836	"disf"	"s_04"	"p"	"pavo"	NA	19.8197096995614	"ml"	"one"	"spanish"	"VOT"	NA
"59"	"sub_17"	"female"	410.74	NA	"s_03"	"p"	"pato"	NA	15.639523536322	"ml"	"one"	"spanish"	"VOT"	NA
"60"	"sub_17"	"female"	421.932	NA	"s_06"	"t"	"tina"	NA	17.7433066508002	"ml"	"one"	"spanish"	"VOT"	NA
"61"	"sub_17"	"female"	426.716	NA	"s_26"	"p"	"pato"	NA	20.2610879485405	"ml"	"two"	"spanish"	"VOT"	NA
"62"	"sub_17"	"female"	430.412	NA	"s_21"	"t"	"taza"	NA	16.1020647502141	"ml"	"two"	"spanish"	"VOT"	NA
"63"	"sub_17"	"female"	437.812	NA	"s_25"	"p"	"pavo"	NA	18.6748097191867	"ml"	"two"	"spanish"	"VOT"	NA
"64"	"sub_17"	"female"	441.5	"disf"	"s_09"	"k"	"quicio"	NA	47.6451300525014	"ml"	"one"	"spanish"	"VOT"	NA
