"speaker"	"gender"	"time_stamp"	"sent_comment"	"sentence"	"phoneme"	"word"	"word_comment"	"duration_ms"	"context"	"word_number"	"language"	"feature"	"l_position"
"1"	"sub_22"	"female"	46.628	NA	"cses_10"	"k"	"keyboard"	NA	110.594493552689	"cs"	"one"	"english"	"VOT"	NA
"2"	"sub_22"	"female"	56.092	NA	"cses_06"	"t"	"teapot"	NA	71.1566571856821	"cs"	"one"	"english"	"VOT"	NA
"3"	"sub_22"	"female"	60.7334689228533	NA	"cses_01"	"p"	"peaches"	NA	63.1072352867719	"cs"	"one"	"english"	"VOT"	NA
"4"	"sub_22"	"female"	69.172	NA	"cses_03"	"p"	"pocket"	NA	71.1718052090617	"cs"	"one"	"english"	"VOT"	NA
"5"	"sub_22"	"female"	79.1284579680742	NA	"cses_20"	"k"	"quiste"	NA	56.5646892611227	"cs"	"two"	"spanish"	"VOT"	NA
"6"	"sub_22"	"female"	83.8355584061855	NA	"cses_17"	"k"	"caja"	NA	32.1932508122984	"cs"	"two"	"spanish"	"VOT"	NA
"7"	"sub_22"	"female"	87.6258717136661	NA	"cses_11"	"k"	"carpet"	NA	65.7061121757323	"cs"	"one"	"english"	"VOT"	NA
"8"	"sub_22"	"female"	91.7681200992041	NA	"cses_19"	"k"	"quicio"	NA	61.1575620679901	"cs"	"two"	"spanish"	"VOT"	NA
"9"	"sub_22"	"female"	104.868	NA	"cses_24"	"t"	"tina"	NA	48.7655468103299	"cs"	"two"	"spanish"	"VOT"	NA
"10"	"sub_22"	"female"	109.012	NA	"cses_23"	"t"	"tinta"	NA	18.8854768340434	"cs"	"two"	"spanish"	"VOT"	NA
"11"	"sub_22"	"female"	113.7	NA	"cses_26"	"p"	"pavo"	NA	16.7880087770556	"cs"	"two"	"spanish"	"VOT"	NA
"12"	"sub_22"	"female"	118.324	"disf"	"cses_22"	"t"	"taza"	NA	22.980082513925	"cs"	"two"	"spanish"	"VOT"	NA
"13"	"sub_22"	"female"	123.364944706921	NA	"cses_12"	"k"	"cockroach"	NA	48.7275193378309	"cs"	"one"	"english"	"VOT"	NA
"14"	"sub_22"	"female"	127.796837004229	NA	"cses_28"	"p"	"piso"	NA	24.4061056942826	"cs"	"two"	"spanish"	"VOT"	NA
"15"	"sub_22"	"female"	131.7	NA	"cses_21"	"t"	"talla"	NA	24.31676761924	"cs"	"two"	"spanish"	"VOT"	NA
"16"	"sub_22"	"female"	135.274402271629	NA	"cses_27"	"p"	"pinzas"	NA	24.9259538564957	"cs"	"two"	"spanish"	"VOT"	NA
"17"	"sub_22"	"female"	139.201468922853	"disf"	"cses_09"	"k"	"keepsake"	NA	79.8138379704483	"cs"	"one"	"english"	"VOT"	NA
"18"	"sub_22"	"female"	143.556	"disf"	"cses_05"	"t"	"teacher"	NA	70.5355704010628	"cs"	"one"	"english"	"VOT"	NA
"19"	"sub_22"	"female"	148.892	"disf"	"cses_08"	"t"	"toffee"	NA	39.9148598885972	"cs"	"one"	"english"	"VOT"	NA
"20"	"sub_22"	"female"	161.312626902509	NA	"cses_25"	"p"	"pato"	NA	14.7586621651215	"cs"	"two"	"spanish"	"VOT"	NA
"21"	"sub_22"	"female"	165.5	NA	"cses_02"	"p"	"peacock"	NA	23.7655757365189	"cs"	"one"	"english"	"VOT"	NA
