"speaker"	"gender"	"time_stamp"	"sent_comment"	"sentence"	"phoneme"	"word"	"word_comment"	"duration_ms"	"context"	"word_number"	"language"	"feature"	"l_position"
"43"	"sub_36"	"female"	379.308130131433	"disf"	"s_09"	"k"	"quicio"	NA	73.0384787866569	"ml"	"one"	"spanish"	"VOT"	NA
"44"	"sub_36"	"female"	384.108	"disf"	"s_02"	"p"	"piso"	NA	11.7085717907912	"ml"	"one"	"spanish"	"VOT"	NA
"45"	"sub_36"	"female"	389.492	NA	"s_25"	"p"	"pavo"	NA	8.06469060023574	"ml"	"two"	"spanish"	"VOT"	NA
"46"	"sub_36"	"female"	393.916	NA	"s_20"	"k"	"quicio"	NA	49.324722963604	"ml"	"two"	"spanish"	"VOT"	NA
"47"	"sub_36"	"female"	428.74	NA	"e_02"	"p"	"peacock"	NA	81.2401550906543	"ml"	"one"	"english"	"VOT"	NA
"48"	"sub_36"	"female"	434.948	NA	"e_04"	"p"	"polish"	NA	70.9372240213497	"ml"	"one"	"english"	"VOT"	NA
"49"	"sub_36"	"female"	439.028	NA	"e_12"	"k"	"cockroach"	NA	99.050318745185	"ml"	"one"	"english"	"VOT"	NA
"50"	"sub_36"	"female"	443.052	NA	"e_26"	"p"	"pocket"	NA	39.6319525909803	"ml"	"two"	"english"	"VOT"	NA
"51"	"sub_36"	"female"	447.162138318563	NA	"e_17"	"k"	"cockroach"	NA	81.074779243977	"ml"	"two"	"english"	"VOT"	NA
"52"	"sub_36"	"female"	451.332	NA	"e_28"	"p"	"peaches"	NA	38.6923473675438	"ml"	"two"	"english"	"VOT"	NA
"53"	"sub_36"	"female"	456.124	NA	"e_27"	"p"	"peacock"	NA	38.2254331241825	"ml"	"two"	"english"	"VOT"	NA
"54"	"sub_36"	"female"	461.236	"disf"	"e_20"	"k"	"keepsake"	NA	85.5708167968601	"ml"	"two"	"english"	"VOT"	NA
"55"	"sub_36"	"female"	474.588	NA	"e_23"	"t"	"teacher"	NA	86.9404466320702	"ml"	"two"	"english"	"VOT"	NA
"56"	"sub_36"	"female"	479.676	NA	"e_06"	"t"	"teapot"	NA	78.5600227778218	"ml"	"one"	"english"	"VOT"	NA
"57"	"sub_36"	"female"	483.972	NA	"e_11"	"k"	"carpet"	NA	75.3945831306737	"ml"	"one"	"english"	"VOT"	NA
"58"	"sub_36"	"female"	492.116	NA	"e_09"	"k"	"keepsake"	NA	93.4030085969653	"ml"	"one"	"english"	"VOT"	NA
"59"	"sub_36"	"female"	496.364	NA	"e_18"	"k"	"carpet"	NA	78.605315545019	"ml"	"two"	"english"	"VOT"	NA
"60"	"sub_36"	"female"	504.652	"disf"	"e_22"	"t"	"toffee"	NA	73.5142031076634	"ml"	"two"	"english"	"VOT"	NA
"61"	"sub_36"	"female"	510.868	"disf"	"e_08"	"t"	"toffee"	NA	80.1574045155462	"ml"	"one"	"english"	"VOT"	NA
"62"	"sub_36"	"female"	516.280490874537	NA	"e_07"	"t"	"toddler"	NA	111.072567868632	"ml"	"one"	"english"	"VOT"	NA
"63"	"sub_36"	"female"	529.444	"disf"	"e_21"	"t"	"toddler"	NA	90.5465633614995	"ml"	"two"	"english"	"VOT"	NA
"64"	"sub_36"	"female"	537.564	NA	"e_01"	"p"	"peaches"	NA	43.3528488897537	"ml"	"one"	"english"	"VOT"	NA
"65"	"sub_36"	"female"	541.572	"disf"	"e_03"	"p"	"pocket"	NA	54.8395403085351	"ml"	"one"	"english"	"VOT"	NA
"66"	"sub_36"	"female"	546.756	NA	"e_24"	"t"	"teapot"	NA	93.23453585057	"ml"	"two"	"english"	"VOT"	NA
"67"	"sub_36"	"female"	550.3	NA	"e_19"	"k"	"keyboard"	NA	114.300103558662	"ml"	"two"	"english"	"VOT"	NA
"68"	"sub_36"	"female"	553.876	NA	"e_25"	"p"	"polish"	NA	53.3955538992359	"ml"	"two"	"english"	"VOT"	NA
"69"	"sub_36"	"female"	561.452	NA	"e_05"	"t"	"teacher"	NA	58.3571652070987	"ml"	"one"	"english"	"VOT"	NA
"70"	"sub_36"	"female"	564.9	NA	"e_10"	"k"	"keyboard"	NA	102.683896462167	"ml"	"one"	"english"	"VOT"	NA
"71"	"sub_36"	"female"	569.404	NA	"e_25"	"p"	"polish"	NA	88.1057800241933	"ml"	"two"	"english"	"VOT"	NA
"72"	"sub_36"	"female"	573.424098657146	"disf"	"e_06"	"t"	"teapot"	NA	86.7760404197497	"ml"	"one"	"english"	"VOT"	NA
"73"	"sub_36"	"female"	577.628	"disf"	"e_01"	"p"	"peaches"	NA	49.6449545164523	"ml"	"one"	"english"	"VOT"	NA
"74"	"sub_36"	"female"	581.284	NA	"e_22"	"t"	"toffee"	NA	67.8995896278138	"ml"	"two"	"english"	"VOT"	NA
"75"	"sub_36"	"female"	589.524	NA	"e_18"	"k"	"carpet"	NA	70.6436248809723	"ml"	"two"	"english"	"VOT"	NA
"76"	"sub_36"	"female"	593.18	NA	"e_27"	"p"	"peacock"	NA	68.6102580855277	"ml"	"two"	"english"	"VOT"	NA
"77"	"sub_36"	"female"	597.884	NA	"e_28"	"p"	"peaches"	NA	29.4475711920086	"ml"	"two"	"english"	"VOT"	NA
"78"	"sub_36"	"female"	601.804	NA	"e_26"	"p"	"pocket"	NA	47.2564745111868	"ml"	"two"	"english"	"VOT"	NA
"79"	"sub_36"	"female"	605.804	NA	"e_23"	"t"	"teacher"	NA	117.19339894853	"ml"	"two"	"english"	"VOT"	NA
"80"	"sub_36"	"female"	610.644	NA	"e_24"	"t"	"teapot"	NA	82.5649048715604	"ml"	"two"	"english"	"VOT"	NA
"81"	"sub_36"	"female"	614.276	NA	"e_04"	"p"	"polish"	NA	64.132805058648	"ml"	"one"	"english"	"VOT"	NA
"82"	"sub_36"	"female"	617.74	NA	"e_02"	"p"	"peacock"	NA	67.4657435823747	"ml"	"one"	"english"	"VOT"	NA
"83"	"sub_36"	"female"	621.676	NA	"e_10"	"k"	"keyboard"	NA	78.034336137307	"ml"	"one"	"english"	"VOT"	NA
"84"	"sub_36"	"female"	637.388	NA	"e_07"	"t"	"toddler"	NA	83.3016470850225	"ml"	"one"	"english"	"VOT"	NA
"85"	"sub_36"	"female"	645.06	NA	"e_20"	"k"	"keepsake"	NA	104.125544739759	"ml"	"two"	"english"	"VOT"	NA
"86"	"sub_36"	"female"	655.972	NA	"e_05"	"t"	"teacher"	NA	84.7375101324133	"ml"	"one"	"english"	"VOT"	NA
"87"	"sub_36"	"female"	659.372	NA	"e_21"	"t"	"toddler"	NA	75.5293443460232	"ml"	"two"	"english"	"VOT"	NA
"88"	"sub_36"	"female"	666.708	NA	"e_09"	"k"	"keepsake"	NA	135.044159576637	"ml"	"one"	"english"	"VOT"	NA
"89"	"sub_36"	"female"	670.412	NA	"e_08"	"t"	"toffee"	NA	77.5815756179554	"ml"	"one"	"english"	"VOT"	NA
"90"	"sub_36"	"female"	673.996	NA	"e_12"	"k"	"cockroach"	NA	102.107253518739	"ml"	"one"	"english"	"VOT"	NA
"91"	"sub_36"	"female"	678.164	NA	"e_03"	"p"	"pocket"	NA	83.0165436050265	"ml"	"one"	"english"	"VOT"	NA
"92"	"sub_36"	"female"	682.548	NA	"e_19"	"k"	"keyboard"	NA	110.622735312404	"ml"	"two"	"english"	"VOT"	NA
"93"	"sub_36"	"female"	686.644	NA	"e_17"	"k"	"cockroach"	NA	111.886975409334	"ml"	"two"	"english"	"VOT"	NA
"94"	"sub_36"	"female"	690.748	NA	"e_11"	"k"	"carpet"	NA	78.5343186012142	"ml"	"one"	"english"	"VOT"	NA
"95"	"sub_36"	"female"	714.433259441465	"MISSING"	"csse_08"	"t"	"taza"	"MISSING"	88.8924451860476	"cs"	"one"	"spanish"	"VOT"	NA
"96"	"sub_36"	"female"	721.068	NA	"csse_12"	"k"	"cama"	NA	23.2752060655912	"cs"	"one"	"spanish"	"VOT"	NA
"97"	"sub_36"	"female"	733.332	"disf"	"csse_09"	"k"	"quicio"	NA	74.6901625110468	"cs"	"one"	"spanish"	"VOT"	NA
"98"	"sub_36"	"female"	738.372	NA	"csse_04"	"p"	"pavo"	NA	8.32480947099157	"cs"	"one"	"spanish"	"VOT"	NA
"99"	"sub_36"	"female"	742.508	NA	"csse_17"	"k"	"cockroach"	NA	94.9018038579652	"cs"	"two"	"english"	"VOT"	NA
"100"	"sub_36"	"female"	746.892	NA	"csse_23"	"t"	"teapot"	NA	90.5227014214915	"cs"	"two"	"english"	"VOT"	NA
"101"	"sub_36"	"female"	751.468	NA	"csse_10"	"k"	"quiste"	NA	53.0615664482639	"cs"	"one"	"spanish"	"VOT"	NA
"102"	"sub_36"	"female"	756.716	NA	"csse_03"	"p"	"pato"	NA	12.2362960457849	"cs"	"one"	"spanish"	"VOT"	NA
"103"	"sub_36"	"female"	761.26	NA	"csse_27"	"p"	"peacock"	NA	51.4072377526418	"cs"	"two"	"english"	"VOT"	NA
"104"	"sub_36"	"female"	775.124	NA	"csse_21"	"t"	"toffee"	NA	57.3204639006235	"cs"	"two"	"english"	"VOT"	NA
"105"	"sub_36"	"female"	779.732	NA	"csse_20"	"k"	"keepsake"	NA	90.2738971725512	"cs"	"two"	"english"	"VOT"	NA
"106"	"sub_36"	"female"	783.948	NA	"csse_19"	"k"	"keyboard"	NA	92.6748806331261	"cs"	"two"	"english"	"VOT"	NA
"107"	"sub_36"	"female"	789.252	NA	"csse_11"	"k"	"caja"	NA	26.0188901955871	"cs"	"one"	"spanish"	"VOT"	NA
"108"	"sub_36"	"female"	798.892	"disf"	"csse_06"	"t"	"tina"	NA	11.9384519674668	"cs"	"one"	"spanish"	"VOT"	NA
"109"	"sub_36"	"female"	809.7	"disf"	"csse_18"	"k"	"carpet"	NA	71.7348338873762	"cs"	"two"	"english"	"VOT"	NA
"110"	"sub_36"	"female"	815.612	NA	"csse_07"	"t"	"talla"	NA	14.6519068214275	"cs"	"one"	"spanish"	"VOT"	NA
"111"	"sub_36"	"female"	826.444	NA	"csse_22"	"t"	"toddler"	NA	69.2191835543099	"cs"	"two"	"english"	"VOT"	NA
"112"	"sub_36"	"female"	830.7	"disf"	"csse_25"	"p"	"polish"	NA	70.7425148427774	"cs"	"two"	"english"	"VOT"	NA
"113"	"sub_36"	"female"	834.804	NA	"csse_02"	"p"	"piso"	NA	12.9289377397299	"cs"	"one"	"spanish"	"VOT"	NA
"114"	"sub_36"	"female"	845.924	"disf"	"csse_28"	"p"	"peaches"	NA	67.6616770169858	"cs"	"two"	"english"	"VOT"	NA
"115"	"sub_36"	"female"	850.804	NA	"csse_24"	"t"	"teacher"	NA	61.7522306441742	"cs"	"two"	"english"	"VOT"	NA
"116"	"sub_36"	"female"	859.46	"disf"	"csse_01"	"p"	"pinzas"	NA	21.6693946038049	"cs"	"one"	"spanish"	"VOT"	NA
"117"	"sub_36"	"female"	864.38	NA	"csse_05"	"t"	"tinta"	NA	12.863224071566	"cs"	"one"	"spanish"	"VOT"	NA
"118"	"sub_36"	"female"	868.684	NA	"csse_26"	"p"	"pocket"	NA	42.4163660146633	"cs"	"two"	"english"	"VOT"	NA
"119"	"sub_36"	"female"	873.148	NA	"csse_05"	"t"	"tinta"	NA	11.1067421190683	"cs"	"one"	"spanish"	"VOT"	NA
